Target,RA,DEC,Sp. Type,T_eff [K],B [mag],V [mag],G [mag],Dist [pc],Data products (ascii),Data products (csv)
HD81797,09:27:35.2427,-08:39:30.958,K3IIIa,,3.42,1.97,10.293,,HD81797_harps_all-data_v1.dat,HD81797_harps_all-data_v1.csv
HD82114,09:23:24.8104,-77:53:25.864,F8/G0V,,7.68,7.06,6.921,50.04,HD82114_harps_all-data_v1.dat,HD82114_harps_all-data_v1.csv
HD82165,09:29:16.1735,-38:24:12.747,A6V,7652.0,6.35,6.145,6.093,60.91,HD82165_harps_all-data_v1.dat,HD82165_harps_all-data_v1.csv
HD82446,09:31:58.9252,-01:11:04.787,A2V,7836.0,4.644,4.548,4.459,214.43,HD82446_harps_all-data_v1.dat,HD82446_harps_all-data_v1.csv
HD82516,09:30:59.2800,-47:23:03.047,K2V,,9.4,8.49,8.252,31.48,HD82516_harps_all-data_v1.dat,HD82516_harps_all-data_v1.csv
HD82783,09:33:26.9594,-30:40:01.180,K0V,5242.0,10.34,9.44,9.216000000000001,59.78,HD82783_harps_all-data_v1.dat,HD82783_harps_all-data_v1.csv
HD82895,09:33:57.6027,-31:56:27.212,F3V,6503.3,7.97,7.53,7.4270000000000005,63.55,HD82895_harps_all-data_v1.dat,HD82895_harps_all-data_v1.csv
HD8291,01:22:18.7218,+03:30:47.255,G5V,5773.2,,,8.446,50.38,HD8291_harps_all-data_v1.dat,HD8291_harps_all-data_v1.csv
HD82943,09:34:50.7352,-12:07:46.363,F9VFe+0.5,5984.0,7.17,6.53,6.386,27.61,HD82943_harps_all-data_v1.dat,HD82943_harps_all-data_v1.csv
HD83368,09:36:25.4068,-48:45:04.254,A8VSrCrEu+F9V,7783.5,6.48,6.232,,,HD83368_harps_all-data_v1.dat,HD83368_harps_all-data_v1.csv
HD83373,09:37:51.5062,-09:25:28.014,A0Vp,9623.3,6.36,6.39,6.38,149.96,HD83373_harps_all-data_v1.dat,HD83373_harps_all-data_v1.csv
HD83443,09:37:11.8276,-43:16:19.932,K0/1V+G(III),5487.0,9.03,8.24,8.026,40.95,HD83443_harps_all-data_v1.dat,HD83443_harps_all-data_v1.csv
HD83446,09:36:49.5400,-49:21:18.088,A7V,,4.52,4.35,4.294,32.83,HD83446_harps_all-data_v1.dat,HD83446_harps_all-data_v1.csv
HD83509,09:39:17.2238,+13:18:45.244,F7V,6206.3,7.4910000000000005,7.021,6.881,60.96,HD83509_harps_all-data_v1.dat,HD83509_harps_all-data_v1.csv
HD83529,09:37:28.6578,-49:59:27.360,G3V,,7.69,7.04,6.82,33.53,HD83529_harps_all-data_v1.dat,HD83529_harps_all-data_v1.csv
HD83683,09:40:35.2454,+13:03:13.619,F8,6297.0,7.4239999999999995,6.943,,,HD83683_harps_all-data_v1.dat,HD83683_harps_all-data_v1.csv
HD83953,09:41:17.0073,-23:35:29.453,B5V,8712.0,4.65,4.76,4.619,152.13,HD83953_harps_all-data_v1.dat,HD83953_harps_all-data_v1.csv
HD84041,09:41:34.3857,-29:22:25.409,ApSrEuCr,7730.0,9.74,9.36,9.376,347.46,HD84041_harps_all-data_v1.dat,HD84041_harps_all-data_v1.csv
HD8406,01:23:00.8734,-16:29:14.861,G3V,5730.0,8.58,7.93,7.7589999999999995,37.72,HD8406_harps_all-data_v1.dat,HD8406_harps_all-data_v1.csv
HD84075,09:36:17.8236,-78:20:41.586,G2V,5950.5,9.18,8.59,8.433,64.1,HD84075_harps_all-data_v1.dat,HD84075_harps_all-data_v1.csv
HD84273,09:43:20.2759,-29:48:14.427,G5V,5623.5,9.05,8.4,8.238999999999999,45.23,HD84273_harps_all-data_v1.dat,HD84273_harps_all-data_v1.csv
HD84305,09:43:05.2134,-43:16:20.240,F8/G0V,5963.0,8.76,8.24,8.084,54.86,HD84305_harps_all-data_v1.dat,HD84305_harps_all-data_v1.csv
HD8446,01:23:25.9892,-14:12:24.911,G3V,5810.0,8.8,8.14,7.997999999999999,71.18,HD8446_harps_all-data_v1.dat,HD8446_harps_all-data_v1.csv
HD84627,09:45:03.6605,-49:29:07.301,F8/G0V,6132.5,8.48,8.03,7.891,57.19,HD84627_harps_all-data_v1.dat,HD84627_harps_all-data_v1.csv
HD84687,09:45:59.7656,-35:51:49.637,F3V,6695.1,7.25,6.86,6.763999999999999,55.03,HD84687_harps_all-data_v1.dat,HD84687_harps_all-data_v1.csv
HD84810,09:45:14.8099,-62:30:28.459,G5Iab/b,,4.33,3.4,7.502999999999999,,HD84810_harps_all-data_v1.dat,HD84810_harps_all-data_v1.csv
HD84937,09:48:56.0980,+13:44:39.323,F8Vm-5,,8.68,8.32,8.19,,HD84937_harps_all-data_v1.dat,HD84937_harps_all-data_v1.csv
HD85119,09:48:50.0929,-37:18:34.741,G8V,5415.4,9.6,8.84,8.656,44.61,HD85119_harps_all-data_v1.dat,HD85119_harps_all-data_v1.csv
HD85249,09:48:52.0060,-53:35:07.070,F7V,6198.9,8.99,8.53,8.405,93.26,HD85249_harps_all-data_v1.dat,HD85249_harps_all-data_v1.csv
HD8535,01:23:37.2360,-41:16:11.280,G0V,5955.3,8.25,7.69,7.561,55.53,HD8535_harps_all-data_v1.dat,HD8535_harps_all-data_v1.csv
HD85390,09:50:02.4969,-49:47:24.957,K1.5V,5152.5,9.4,8.55,8.295,33.55,HD85390_harps_all-data_v1.dat,HD85390_harps_all-data_v1.csv
HD85444,09:51:28.6938,-14:50:47.771,G7III,5035.0,5.03,4.11,3.793,76.18,HD85444_harps_all-data_v1.dat,HD85444_harps_all-data_v1.csv
HD85512,09:51:07.0520,-43:30:10.021,K6Vk:,5000.0,8.83,7.651,7.187,11.28,HD85512_harps_all-data_v1.dat,HD85512_harps_all-data_v1.csv
HD8558,01:23:21.2548,-57:28:50.689,G7V,5583.5,9.21,8.543,8.376,45.31,HD8558_harps_all-data_v1.dat,HD8558_harps_all-data_v1.csv
HD85725,09:52:58.0278,-27:19:55.819,G1V,,6.92,6.3,6.132999999999999,54.05,HD85725_harps_all-data_v1.dat,HD85725_harps_all-data_v1.csv
HD85859,09:54:12.3259,-25:55:56.363,K2+IIICN0.5,4401.2,6.11,4.88,4.446000000000001,79.49,HD85859_harps_all-data_v1.dat,HD85859_harps_all-data_v1.csv
HD86006,09:54:31.1707,-45:43:51.536,G5IV/V+M4,5725.0,8.86,8.18,8.012,80.58,HD86006_harps_all-data_v1.dat,HD86006_harps_all-data_v1.csv
HD86021,09:54:11.0246,-53:38:27.956,G5V,5418.4,11.41,10.73,9.455,139.89,HD86021_harps_all-data_v1.dat,HD86021_harps_all-data_v1.csv
HD86065,09:55:42.5148,-18:06:26.659,K2.5V,,10.31,9.34,9.061,40.41,HD86065_harps_all-data_v1.dat,HD86065_harps_all-data_v1.csv
HD86081,09:56:05.9185,-03:48:30.323,G1V,5973.0,9.34,8.7,8.588,104.25,HD86081_harps_all-data_v1.dat,HD86081_harps_all-data_v1.csv
HD86133,09:57:02.2078,+19:45:44.625,G0,5988.7,8.16,,7.444,40.89,HD86133_harps_all-data_v1.dat,HD86133_harps_all-data_v1.csv
HD86140,09:54:35.0588,-58:43:47.320,K2.5Vk:,,9.98,9.02,8.705,30.15,HD86140_harps_all-data_v1.dat,HD86140_harps_all-data_v1.csv
HD86171,09:56:38.4383,-08:50:04.403,K0V,,9.25,8.53,8.325,37.81,HD86171_harps_all-data_v1.dat,HD86171_harps_all-data_v1.csv
HD86181,09:54:53.4232,-58:41:45.366,ApSr,7239.6,9.7,9.38,9.333,250.41,HD86181_harps_all-data_v1.dat,HD86181_harps_all-data_v1.csv
HD8651,01:24:40.7868,-41:29:33.168,K0III,4736.0,6.443,5.417000000000001,5.078,78.17,HD8651_harps_all-data_v1.dat,HD8651_harps_all-data_v1.csv
HD86652,09:59:07.9938,-33:31:01.628,G3V,5879.2,8.81,8.17,8.035,53.82,HD86652_harps_all-data_v1.dat,HD86652_harps_all-data_v1.csv
HD86997,10:00:18.7916,-59:00:46.066,F7V,,8.45,7.99,7.832999999999999,85.24,HD86997_harps_all-data_v1.dat,HD86997_harps_all-data_v1.csv
HD8705,01:25:37.2326,-14:35:55.641,K2+III-IIIbCN0.5,4340.0,6.138,4.907,4.4,83.71,HD8705_harps_all-data_v1.dat,HD8705_harps_all-data_v1.csv
HD87109,10:00:54.3329,-60:13:34.347,G8Ib/II,4520.0,8.95,7.69,7.289,1110.25,HD87109_harps_all-data_v1.dat,HD87109_harps_all-data_v1.csv
HD87320,10:03:37.3825,-29:02:36.015,G8V,5678.5,8.8,8.12,7.93,45.42,HD87320_harps_all-data_v1.dat,HD87320_harps_all-data_v1.csv
HD87479,10:03:21.0890,-59:56:53.655,G5III,4654.1,9.12,8.0,7.609,1032.95,HD87479_harps_all-data_v1.dat,HD87479_harps_all-data_v1.csv
HD87488,10:04:49.0182,-28:11:19.273,A(pEuCr),9637.8,6.96,6.96,6.938,239.65,HD87488_harps_all-data_v1.dat,HD87488_harps_all-data_v1.csv
HD87521,10:04:33.9747,-39:19:00.721,K3V,4813.9,10.17,9.14,8.78,32.13,HD87521_harps_all-data_v1.dat,HD87521_harps_all-data_v1.csv
HD87526,10:03:38.9749,-60:11:59.363,G0II,5146.0,8.2,7.32,7.077000000000001,1073.42,HD87526_harps_all-data_v1.dat,HD87526_harps_all-data_v1.csv
HD87566,10:03:51.4941,-60:03:10.211,K1III,,9.55,8.31,7.9239999999999995,1005.43,HD87566_harps_all-data_v1.dat,HD87566_harps_all-data_v1.csv
HD8763,01:26:41.6790,+19:14:25.535,K1III,4644.3,6.6160000000000005,5.495,5.155,93.57,HD8763_harps_all-data_v1.dat,HD8763_harps_all-data_v1.csv
HD87810,10:07:07.6078,-21:15:20.610,F3V,6699.0,7.05,6.66,6.558,71.83,HD87810_harps_all-data_v1.dat,HD87810_harps_all-data_v1.csv
HD87833,10:05:44.0900,-60:19:00.999,G8II/III,4583.3,9.69,8.56,8.218,1026.69,HD87833_harps_all-data_v1.dat,HD87833_harps_all-data_v1.csv
HD87838,10:07:33.8085,-06:26:21.113,F7/8V,,8.24,7.72,7.571000000000001,51.22,HD87838_harps_all-data_v1.dat,HD87838_harps_all-data_v1.csv
HD88072,10:09:23.4290,+02:22:15.899,G3V,5798.0,,,7.377000000000001,35.95,HD88072_harps_all-data_v1.dat,HD88072_harps_all-data_v1.csv
HD88084,10:09:08.2458,-15:29:40.190,G2V,4930.7,8.18,7.54,7.367000000000001,35.83,HD88084_harps_all-data_v1.dat,HD88084_harps_all-data_v1.csv
HD8828,01:27:01.5472,-00:09:27.303,G5V,,8.67,7.93,7.751,31.07,HD8828_harps_all-data_v1.dat,HD8828_harps_all-data_v1.csv
HD88474,10:09:09.4459,-70:21:58.193,F7IV,5822.3,9.01,8.47,8.312000000000001,174.2,HD88474_harps_all-data_v1.dat,HD88474_harps_all-data_v1.csv
HD8859,01:26:49.2454,-29:28:29.884,G5V,5502.0,9.12,8.41,8.222000000000001,42.5,HD8859_harps_all-data_v1.dat,HD8859_harps_all-data_v1.csv
HD88656,10:12:52.7765,-28:30:48.190,K2V,5137.8,9.89,9.08,8.832,41.08,HD88656_harps_all-data_v1.dat,HD88656_harps_all-data_v1.csv
HD88885,10:14:32.9084,-27:02:10.599,K1V,5368.0,9.93,9.16,8.988999999999999,52.19,HD88885_harps_all-data_v1.dat,HD88885_harps_all-data_v1.csv
HD88955,10:14:44.1557,-42:07:18.993,A2Va,8629.0,3.9,3.85,3.755,30.58,HD88955_harps_all-data_v1.dat,HD88955_harps_all-data_v1.csv
HD8912,01:27:27.2129,-25:56:12.859,K0V,5119.2,9.93,9.15,8.915,45.23,HD8912_harps_all-data_v1.dat,HD8912_harps_all-data_v1.csv
HD89147,10:16:55.4370,-08:54:57.786,K0/1V,5313.0,10.42,9.52,9.395,60.35,HD89147_harps_all-data_v1.dat,HD89147_harps_all-data_v1.csv
HD89328,10:17:20.1815,-46:50:05.765,A8V+F3/5,7188.4,6.78,6.48,6.392,64.97,HD89328_harps_all-data_v1.dat,HD89328_harps_all-data_v1.csv
HD89454,10:19:16.2817,-11:22:42.644,G5V,5699.0,8.75,8.05,7.862,41.26,HD89454_harps_all-data_v1.dat,HD89454_harps_all-data_v1.csv
HD89668,10:20:43.4054,-01:28:11.374,K3/4V,,10.5,9.41,9.031,32.08,HD89668_harps_all-data_v1.dat,HD89668_harps_all-data_v1.csv
HD89749,10:20:57.5944,-28:44:27.661,G8V,5470.2,9.83,9.1,8.978,53.35,HD89749_harps_all-data_v1.dat,HD89749_harps_all-data_v1.csv
HD89839,10:20:40.5422,-53:39:50.734,F7V,6273.0,8.169,7.64,7.513,57.4,HD89839_harps_all-data_v1.dat,HD89839_harps_all-data_v1.csv
HD8985,01:28:07.3109,-28:03:04.516,F6/7V,6251.0,8.21,7.73,7.596,55.77,HD8985_harps_all-data_v1.dat,HD8985_harps_all-data_v1.csv
HD89920,10:21:49.6862,-44:30:40.017,G8/K0,,10.78,9.78,9.477,46.19,HD89920_harps_all-data_v1.dat,HD89920_harps_all-data_v1.csv
HD89965,10:22:23.4901,-28:50:51.432,K3V,5026.3,10.4,9.44,9.17,42.7,HD89965_harps_all-data_v1.dat,HD89965_harps_all-data_v1.csv
HD90028,10:22:51.4309,-28:00:48.582,G3V,5807.5,8.96,8.31,8.156,82.68,HD90028_harps_all-data_v1.dat,HD90028_harps_all-data_v1.csv
HD90081,10:23:34.6266,-12:29:11.896,G1V,6006.5,8.69,8.13,7.966,57.52,HD90081_harps_all-data_v1.dat,HD90081_harps_all-data_v1.csv
HD90132,10:23:29.2960,-38:00:35.413,A8V,7478.8,5.564,5.329,5.257999999999999,40.87,HD90132_harps_all-data_v1.dat,HD90132_harps_all-data_v1.csv
HD90133,10:23:11.8128,-48:20:06.241,K0V,5030.3,10.54,9.65,9.382,49.26,HD90133_harps_all-data_v1.dat,HD90133_harps_all-data_v1.csv
HD90156,10:23:55.2739,-29:38:43.906,G5V,5705.0,7.603,6.92,6.74,21.96,HD90156_harps_all-data_v1.dat,HD90156_harps_all-data_v1.csv
HD90177,10:22:53.8426,-59:37:28.361,LBV,5143.5,9.66,8.0,8.19,,HD90177_harps_all-data_v1.dat,HD90177_harps_all-data_v1.csv
HD90422,10:25:29.4913,-45:10:57.762,G0V,6087.6,8.76,8.24,8.1,107.54,HD90422_harps_all-data_v1.dat,HD90422_harps_all-data_v1.csv
HD90520,10:26:10.6478,-45:33:45.156,G0IV/V,5915.0,8.17,7.52,7.361000000000001,63.72,HD90520_harps_all-data_v1.dat,HD90520_harps_all-data_v1.csv
HD90569,10:27:38.9888,+09:45:44.616,B9.5IV-VpSiCrSr(Mn),9438.0,5.98,6.04,5.982,127.97,HD90569_harps_all-data_v1.dat,HD90569_harps_all-data_v1.csv
HD9065,01:28:43.4917,-33:45:50.291,A9/F0V,7022.2,6.879,6.577000000000001,6.494,93.38,HD9065_harps_all-data_v1.dat,HD9065_harps_all-data_v1.csv
HD90722,10:28:13.9275,-16:17:20.966,G5/6IV,5667.0,8.59,7.86,7.695,52.23,HD90722_harps_all-data_v1.dat,HD90722_harps_all-data_v1.csv
HD90774,10:27:10.2886,-62:01:08.172,F8V,6130.2,8.08,7.58,7.431,74.05,HD90774_harps_all-data_v1.dat,HD90774_harps_all-data_v1.csv
HD90812,10:28:42.8831,-27:21:57.729,K0.5V,,9.67,8.85,8.628,37.12,HD90812_harps_all-data_v1.dat,HD90812_harps_all-data_v1.csv
HD9081,01:29:42.3319,+17:05:56.279,G5,5669.7,8.82,8.14,7.952000000000001,86.56,HD9081_harps_all-data_v1.dat,HD9081_harps_all-data_v1.csv
HD90905,10:29:42.2300,+01:29:28.039,G1V,6111.0,,,6.7139999999999995,31.04,HD90905_harps_all-data_v1.dat,HD90905_harps_all-data_v1.csv
HD90926,10:26:08.4545,-76:27:07.272,G6V,5574.0,9.35,8.59,8.388,50.67,HD90926_harps_all-data_v1.dat,HD90926_harps_all-data_v1.csv
HD90994,10:30:17.4798,-00:38:13.303,B5IV/V,8868.7,4.96,5.1,5.021,111.59,HD90994_harps_all-data_v1.dat,HD90994_harps_all-data_v1.csv
HD91121,10:30:51.7727,-21:13:37.124,G1wF2/5V,,9.33,8.72,8.577,90.6,HD91121_harps_all-data_v1.dat,HD91121_harps_all-data_v1.csv
HD91267,10:31:08.7496,-53:15:27.474,K1/2(III),4985.5,10.73,9.81,9.481,47.62,HD91267_harps_all-data_v1.dat,HD91267_harps_all-data_v1.csv
HD91316,10:32:48.6716,+09:18:23.709,B1Iab,9593.0,3.72,3.87,3.7439999999999998,334.0,HD91316_harps_all-data_v1.dat,HD91316_harps_all-data_v1.csv
HD91345,10:30:04.6049,-71:33:39.249,G0wF3,5824.0,9.757,9.51,8.879,60.08,HD91345_harps_all-data_v1.dat,HD91345_harps_all-data_v1.csv
HD91375,10:30:20.1271,-71:59:34.060,A1V,9278.5,4.751,4.71,4.663,80.19,HD91375_harps_all-data_v1.dat,HD91375_harps_all-data_v1.csv
HD91379,10:32:44.4522,-19:12:06.296,F6V,6208.2,8.66,8.16,8.017999999999999,62.51,HD91379_harps_all-data_v1.dat,HD91379_harps_all-data_v1.csv
HD91682,10:31:04.0335,-78:09:53.961,G5V,5672.0,9.24,8.54,8.334,77.4,HD91682_harps_all-data_v1.dat,HD91682_harps_all-data_v1.csv
HD9174,01:30:01.0023,-19:36:16.207,G8IV,5556.0,9.14,8.37,8.229,81.68,HD9174_harps_all-data_v1.dat,HD9174_harps_all-data_v1.csv
HD91816,10:36:02.2113,-11:54:47.927,K1.5Vk:,,8.89,8.03,7.778,34.77,HD91816_harps_all-data_v1.dat,HD91816_harps_all-data_v1.csv
HD91988,10:37:36.7978,+18:20:58.292,G5,,9.05,8.38,8.221,86.32,HD91988_harps_all-data_v1.dat,HD91988_harps_all-data_v1.csv
HD92003,10:37:18.9698,-11:30:39.967,G3/5V,5718.0,9.6,8.89,8.769,77.93,HD92003_harps_all-data_v1.dat,HD92003_harps_all-data_v1.csv
HD92106,10:32:52.7051,-81:09:46.435,ApSrEuCr,8226.7,7.88,7.77,7.7379999999999995,231.07,HD92106_harps_all-data_v1.dat,HD92106_harps_all-data_v1.csv
HD92139,10:37:18.1399,-48:13:32.234,A3/5,6902.8,4.13,3.84,3.945,,HD92139_harps_all-data_v1.dat,HD92139_harps_all-data_v1.csv
HD92245,10:38:50.4158,-12:26:37.046,A0V,9333.0,6.023,6.045,6.023,126.11,HD92245_harps_all-data_v1.dat,HD92245_harps_all-data_v1.csv
HD9246,01:30:24.9657,-29:15:31.947,K2.5V,5029.6,10.29,9.44,9.148,38.16,HD9246_harps_all-data_v1.dat,HD9246_harps_all-data_v1.csv
HD92536,10:39:22.8311,-64:06:42.434,B8V,8316.0,6.2379999999999995,6.314,6.297999999999999,158.01,HD92536_harps_all-data_v1.dat,HD92536_harps_all-data_v1.csv
HD92547,10:40:56.0439,-13:07:46.300,F7/G0,5981.4,8.65,8.11,7.981,56.72,HD92547_harps_all-data_v1.dat,HD92547_harps_all-data_v1.csv
HD92588,10:41:24.1859,-01:44:29.366,G9IV,5119.7,7.145,6.25,6.002999999999999,37.7,HD92588_harps_all-data_v1.dat,HD92588_harps_all-data_v1.csv
HD92719,10:42:13.3208,-13:47:15.767,G1.5V,,7.406000000000001,6.767,6.621,23.91,HD92719_harps_all-data_v1.dat,HD92719_harps_all-data_v1.csv
HD92788,10:42:48.5280,-02:11:01.522,G6V,5722.0,8.01,7.3,7.138999999999999,34.69,HD92788_harps_all-data_v1.dat,HD92788_harps_all-data_v1.csv
HD9289,01:31:16.4758,-11:07:07.915,ApSrEu,7860.0,9.63,9.38,9.357000000000001,206.04,HD9289_harps_all-data_v1.dat,HD9289_harps_all-data_v1.csv
HD93153,10:45:29.2784,+01:00:38.791,G6V,5651.3,8.72,7.99,7.801,49.13,HD93153_harps_all-data_v1.dat,HD93153_harps_all-data_v1.csv
HD93351,10:46:42.6116,-01:41:16.665,G6V,5408.8,9.837,9.14,8.946,56.25,HD93351_harps_all-data_v1.dat,HD93351_harps_all-data_v1.csv
HD93372,10:44:26.9611,-72:26:36.589,F6VFe+0.4,6333.8,6.749,6.261,6.138999999999999,32.15,HD93372_harps_all-data_v1.dat,HD93372_harps_all-data_v1.csv
HD93385,10:46:15.1160,-41:27:51.726,G2/3V,5977.0,8.08,7.486000000000001,7.337999999999999,43.4,HD93385_harps_all-data_v1.dat,HD93385_harps_all-data_v1.csv
HD93396,10:46:49.7401,-09:23:56.494,G8/K0IV,5320.7,8.87,8.04,7.831,99.44,HD93396_harps_all-data_v1.dat,HD93396_harps_all-data_v1.csv
HD93489,10:47:28.6152,-13:58:44.878,G3V,5890.0,8.53,7.91,7.76,49.57,HD93489_harps_all-data_v1.dat,HD93489_harps_all-data_v1.csv
HD93507,10:45:50.6285,-68:07:49.572,ApSiCrpec,8894.7,8.47,8.44,8.405,334.69,HD93507_harps_all-data_v1.dat,HD93507_harps_all-data_v1.csv
HD9362,01:31:15.1047,-49:04:21.730,G8.5IIIb,4744.0,4.918,3.935,3.56,42.83,HD9362_harps_all-data_v1.dat,HD9362_harps_all-data_v1.csv
HD93745,10:49:00.5194,-31:03:32.922,G2V,5974.0,8.1,7.5,7.329,59.04,HD93745_harps_all-data_v1.dat,HD93745_harps_all-data_v1.csv
HD93849,10:49:35.4016,-29:59:39.913,G0/1V,6154.5,8.41,7.85,7.728,70.74,HD93849_harps_all-data_v1.dat,HD93849_harps_all-data_v1.csv
HD93932,10:50:25.5124,-15:06:15.075,G3V,,8.15,7.53,7.377000000000001,50.86,HD93932_harps_all-data_v1.dat,HD93932_harps_all-data_v1.csv
HD94126,10:51:36.5154,-16:24:15.476,G8IV,5599.8,9.44,8.71,8.527999999999999,60.72,HD94126_harps_all-data_v1.dat,HD94126_harps_all-data_v1.csv
HD94151,10:51:39.2309,-22:04:18.580,G8V,,8.54,7.82,7.67,35.98,HD94151_harps_all-data_v1.dat,HD94151_harps_all-data_v1.csv
HD94270,10:52:39.2827,-17:01:48.889,G2V,5964.0,8.35,7.77,7.61,49.74,HD94270_harps_all-data_v1.dat,HD94270_harps_all-data_v1.csv
HD94771,10:55:53.9555,-35:06:51.649,G3/5V,5549.0,8.11,7.36,7.178999999999999,57.88,HD94771_harps_all-data_v1.dat,HD94771_harps_all-data_v1.csv
HD94964,10:55:20.0302,-75:11:30.975,F8V,6129.2,8.4,7.85,7.7139999999999995,51.33,HD94964_harps_all-data_v1.dat,HD94964_harps_all-data_v1.csv
HD95086,10:57:03.0216,-68:40:02.446,A8III,7520.8,7.6,7.36,7.309,86.44,HD95086_harps_all-data_v1.dat,HD95086_harps_all-data_v1.csv
HD95136,10:58:33.0760,-39:55:45.555,G3/5V,5760.0,9.31,8.65,8.486,70.51,HD95136_harps_all-data_v1.dat,HD95136_harps_all-data_v1.csv
HD95456,11:00:40.7833,-31:50:21.728,F8V,6211.0,6.575,6.051,5.921,30.91,HD95456_harps_all-data_v1.dat,HD95456_harps_all-data_v1.csv
HD95521,11:00:50.2623,-49:01:11.413,G2V,5775.0,8.22,7.57,7.42,33.35,HD95521_harps_all-data_v1.dat,HD95521_harps_all-data_v1.csv
HD95533,11:01:27.0580,-19:49:10.056,G8/K0V,,10.02,9.15,8.978,60.03,HD95533_harps_all-data_v1.dat,HD95533_harps_all-data_v1.csv
HD95542,11:00:17.6975,-66:33:25.320,G0V,6033.3,8.86,8.27,8.117,52.88,HD95542_harps_all-data_v1.dat,HD95542_harps_all-data_v1.csv
HD9578,01:33:17.1446,-38:14:42.059,G1V,,8.788,8.2,8.054,56.2,HD9578_harps_all-data_v1.dat,HD9578_harps_all-data_v1.csv
HD95799,11:02:25.1092,-58:45:37.377,G8III,4850.8,8.96,7.94,7.693,283.22,HD95799_harps_all-data_v1.dat,HD95799_harps_all-data_v1.csv
HD95860,11:02:50.7724,-53:14:49.254,G0/2(w)F5,5958.0,10.3,9.74,9.597000000000001,129.62,HD95860_harps_all-data_v1.dat,HD95860_harps_all-data_v1.csv
HD95879,11:02:50.6035,-58:42:07.024,G8III,4964.2,8.854,7.869,7.65,495.27,HD95879_harps_all-data_v1.dat,HD95879_harps_all-data_v1.csv
HD96064,11:04:41.4723,-04:13:15.917,G8V,5450.5,8.41,7.64,7.401,26.24,HD96064_harps_all-data_v1.dat,HD96064_harps_all-data_v1.csv
HD9608,01:33:16.1028,-47:18:21.863,G0/1V,5932.6,8.76,8.19,8.048,53.96,HD9608_harps_all-data_v1.dat,HD9608_harps_all-data_v1.csv
HD96116,11:04:13.6517,-57:45:54.473,G3V,5757.6,9.34,8.69,8.503,57.63,HD96116_harps_all-data_v1.dat,HD96116_harps_all-data_v1.csv
HD96118,11:04:13.9408,-58:27:51.139,K3III+A/F,4250.7,8.96,7.69,7.211,1508.52,HD96118_harps_all-data_v1.dat,HD96118_harps_all-data_v1.csv
HD96175,11:04:35.9648,-58:45:20.882,G5,5002.3,8.651,7.624,7.399,516.77,HD96175_harps_all-data_v1.dat,HD96175_harps_all-data_v1.csv
HD96273,11:06:07.4166,+07:02:00.458,F8,6283.0,9.16,8.75,8.594,115.84,HD96273_harps_all-data_v1.dat,HD96273_harps_all-data_v1.csv
HD96276,11:05:50.7332,-20:24:32.680,G1V,6073.0,8.68,8.11,7.9639999999999995,58.37,HD96276_harps_all-data_v1.dat,HD96276_harps_all-data_v1.csv
HD96290,11:03:59.7273,-74:14:52.671,F8V,5095.6,8.26,7.72,7.584,50.58,HD96290_harps_all-data_v1.dat,HD96290_harps_all-data_v1.csv
HD96423,11:06:19.7446,-44:22:23.939,G5V,5720.8,7.92,7.23,7.055,32.3,HD96423_harps_all-data_v1.dat,HD96423_harps_all-data_v1.csv
HD96445,11:05:58.7396,-58:43:29.395,G6II-III,4990.0,8.677,7.702000000000001,7.47,453.14,HD96445_harps_all-data_v1.dat,HD96445_harps_all-data_v1.csv
HD96494,11:04:20.7725,-78:52:06.746,K0V,5299.7,9.71,8.86,8.67,45.88,HD96494_harps_all-data_v1.dat,HD96494_harps_all-data_v1.csv
HD96544,11:06:29.2871,-58:40:30.083,K2II/III,4400.0,7.31,6.03,5.662000000000001,482.25,HD96544_harps_all-data_v1.dat,HD96544_harps_all-data_v1.csv
HD96568,11:06:24.2539,-64:50:23.898,A3V,8498.5,6.49,6.381,6.362,148.6,HD96568_harps_all-data_v1.dat,HD96568_harps_all-data_v1.csv
HD965,00:14:04.0647,-00:02:00.101,ApSrEuCr,7027.2,8.94,8.57,8.572000000000001,221.05,HD965_harps_all-data_v1.dat,HD965_harps_all-data_v1.csv
HD96673,11:07:07.1556,-61:35:42.245,K3+V,4712.7,10.92,9.78,9.451,41.06,HD96673_harps_all-data_v1.dat,HD96673_harps_all-data_v1.csv
HD96700,11:07:54.4269,-30:10:28.445,G1VFe-0.5,,7.11,6.502999999999999,6.352,25.43,HD96700_harps_all-data_v1.dat,HD96700_harps_all-data_v1.csv
HD96723,11:08:15.7762,-29:58:20.952,A1V,9274.0,6.487,6.452999999999999,6.4479999999999995,136.6,HD96723_harps_all-data_v1.dat,HD96723_harps_all-data_v1.csv
HD9672,01:34:37.7788,-15:40:34.898,A1V,9000.0,5.667000000000001,5.607,5.593,57.07,HD9672_harps_all-data_v1.dat,HD9672_harps_all-data_v1.csv
HD96789,11:07:57.3479,-58:17:26.364,K2II,4360.0,8.35,6.978,6.606,473.69,HD96789_harps_all-data_v1.dat,HD96789_harps_all-data_v1.csv
HD967,00:14:04.4786,-11:18:41.705,G6wF7,,8.99,8.38,8.196,42.84,HD967_harps_all-data_v1.dat,HD967_harps_all-data_v1.csv
HD96819,11:08:43.9910,-28:04:50.347,A1V,9030.7,5.484,5.421,5.396,53.08,HD96819_harps_all-data_v1.dat,HD96819_harps_all-data_v1.csv
