#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2019-10-10T00:33:30 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5d9e7c30bd62	
#INFO	-out.max=unlimited	
#INFO	queryParameters=30	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:J/A+A/531/A92&tab:{J/A+A/531/A92/table1}&key:source=J/A+A/531/A92&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/A+A/531/A92/table1
#-order=I
#-out=Seq
#-out=pmRA
#-out=pmDE
#-out=Bmag
#-out=Vmag
#-out=Jmag
#-out=Hmag
#-out=Ksmag
#-out=rmag
#-out=plx
#-out=Dist
#-out=RV
#-out=Vpar
#-out=Vper
#-out=Mass
#-out=M
#M=M
#-out=Simbad
#Simbad=Simbad
#-out=RAJ2000
#-out=DEJ2000
#

#RESOURCE=yCat_35310092
#Name: J/A+A/531/A92
#Title: Deep all-sky census of the Hyades (Roeser+, 2011)
#Coosys	J2000_2000.000:	eq_FK5 J2000
#Table	J_A_A_531_A92_table1:
#Name: J/A+A/531/A92/table1
#Title: Data of 724 Hyades candidates
#Column	Seq	(I3)	[1/724] Running number	[ucd=meta.id;meta.main]
#Column	pmRA	(F7.2)	Proper motion in RA*cos(DE)	[ucd=pos.pm;pos.eq.ra]
#Column	pmDE	(F7.2)	Proper motion in DE	[ucd=pos.pm;pos.eq.dec]
#Column	Bmag	(F7.3)	? Johnson B magnitude (from ASCC-2.5, I/280)	[ucd=phot.mag;em.opt.B]
#Column	Vmag	(F7.3)	? Johnson V magnitude (from ASCC-2.5, I/280)	[ucd=phot.mag;em.opt.V]
#Column	Jmag	(F7.3)	? 2MASS J magnitude (II/246)	[ucd=phot.mag;em.IR.J]
#Column	Hmag	(F7.3)	? 2MASS H magnitude (II/246)	[ucd=phot.mag;em.IR.H]
#Column	Ksmag	(F7.3)	? 2MASS Ks magnitude (II/246)	[ucd=phot.mag;em.IR.K]
#Column	rmag	(F7.3)	? SDSS r' magnitude from CMC14 (I/304)	[ucd=phot.mag;em.opt.R]
#Column	plx	(F5.2)	Secular parallax	[ucd=pos.parallax.trig]
#Column	Dist	(F5.2)	Distance from the cluster centre	[ucd=pos.distance;pos.heliocentric]
#Column	RV	(F5.2)	Predicted radial velocity	[ucd=phys.veloc;pos.heliocentric]
#Column	Vpar	(F5.2)	Tangential velocity in direction to the convergent point	[ucd=phys.veloc.transverse]
#Column	Vper	(F5.2)	Tangential velocity perpendicular to the direction to the convergent point	[ucd=phys.veloc.transverse]
#Column	Mass	(F6.2)	mass of the star (from M/L relation) (1)	[ucd=phys.mass]
#Column	M	(A1)	Details from the quoted Catalogs: PPMXL (I/317), CMC14 (I/304), ASCC-2.5 (I/280), 2MASS (II/246)	[ucd=meta.ref.url]
#Column	Simbad	(a6)	Simbad column added by the CDS	[ucd=meta.ref.url]
#Column	RAJ2000	(F10.6)	Right Ascension J2000.0, epoch 2000.0	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F10.6)	Declination J2000.0, epoch 2000.0	[ucd=pos.eq.dec;meta.main]
Seq	pmRA	pmDE	Bmag	Vmag	Jmag	Hmag	Ksmag	rmag	plx	Dist	RV	Vpar	Vper	Mass	M	Simbad	RAJ2000	DEJ2000
418	  88.57	 -45.27	       	       	 12.075	 11.465	 11.205	 16.248	18.65	10.34	37.70	25.27	 0.45	  0.22	M	Simbad	068.188876	+25.092769
419	 103.76	 -16.16	       	       	 10.846	 10.227	  9.989	 14.516	22.11	 3.97	39.42	22.51	-0.37	  0.34	M	Simbad	068.189193	+12.066676
420	 101.72	 -28.54	  9.828	  8.905	  7.285	  6.859	  6.770	       	21.75	 1.09	39.12	23.02	-0.43	  1.05	M	Simbad	068.208793	+16.005818
421	  98.76	 -23.77	  9.390	  8.654	  7.323	  7.017	  6.941	       	20.97	 1.79	39.15	22.97	 0.31	  1.02	M	Simbad	068.247710	+15.818973
422	  93.34	 -45.35	       	       	 11.652	 11.016	 10.758	 15.783	19.86	 7.08	38.04	24.77	 0.09	  0.26	M	Simbad	068.270924	+23.555037
423	  79.79	  23.26	       	       	 12.535	 11.970	 11.621	 16.639	16.72	23.12	38.81	23.53	-1.27	  0.20	M	Simbad	068.313215	-03.791128
424	  78.47	-108.93	 12.135	 11.062	  8.749	  8.142	  7.992	 10.540	18.31	29.89	29.28	34.68	-2.44	  0.80	M	Simbad	068.328763	+49.861307
425	  96.65	 -52.36	       	       	  8.914	  8.242	  8.028	 12.018	20.96	 6.21	37.98	24.85	-0.72	  0.72	M	Simbad	068.349077	+23.990831
426	 109.88	 -30.45	       	       	  9.683	  9.069	  8.822	 12.694	23.90	 5.39	39.42	22.50	-2.28	  0.51	M	Simbad	068.362521	+13.045497
427	  69.73	 -17.78	       	       	 11.505	 10.932	 10.647	 14.999	15.16	20.19	39.50	22.36	-2.52	  0.37	M	Simbad	068.397686	+11.992818
428	 108.93	 -45.20	 11.920	 10.677	  8.427	  7.835	  7.686	 10.181	23.27	 4.91	38.51	24.02	 0.12	  0.75	M	Simbad	068.404921	+21.150853
429	  96.08	 -24.57	 10.274	  9.351	  7.839	  7.420	  7.351	  9.135	20.40	 2.87	39.11	23.03	 0.66	  0.91	M	Simbad	068.408188	+16.762500
430	 103.55	 -34.95	 11.926	 10.733	  8.535	  7.977	  7.820	 10.133	22.05	 2.31	38.84	23.49	 0.38	  0.74	M	Simbad	068.424706	+19.014031
431	 112.74	 -42.85	       	       	 10.907	 10.321	 10.046	 14.798	24.39	 5.64	38.87	23.43	-0.66	  0.30	M	Simbad	068.428389	+18.766443
432	 102.85	 -17.81	  7.056	  6.609	  5.759	  5.612	  5.558	       	22.02	 3.09	39.44	22.47	 0.11	  1.42	M	Simbad	068.444342	+13.251884
433	 103.22	 -26.49	  4.913	  4.646	  4.311	  4.288	  4.074	       	22.27	 2.31	39.32	22.67	-0.62	  2.11	M	Simbad	068.462156	+14.844423
434	 103.87	 -35.95	       	       	 11.849	 11.241	 10.966	 15.985	22.35	 2.31	38.94	23.32	-0.18	  0.20	M	Simbad	068.481082	+18.380753
435	  98.81	 -22.96	       	       	 10.859	 10.229	  9.962	 14.524	20.87	 1.91	39.13	23.00	 1.26	  0.37	M	Simbad	068.486318	+16.869062
436	 102.03	 -34.82	  9.311	  8.495	  6.989	  6.576	  6.465	       	22.41	 2.36	39.30	22.70	-2.17	  1.02	M	Simbad	068.493908	+15.163619
437	  79.84	 -15.16	       	       	  9.531	  8.861	  8.690	 11.800	17.09	12.46	39.40	22.54	 0.41	  0.66	M	Simbad	068.522132	+14.217546
438	  90.10	 -19.41	 12.559	 11.693	  8.890	  8.300	  8.059	 11.196	19.59	 6.54	39.58	22.22	-1.93	  0.75	M	Simbad	068.546452	+11.557920
439	  86.81	 -20.40	 10.606	  9.658	  8.061	  7.670	  7.553	  9.417	18.60	 7.58	39.29	22.72	 0.54	  0.91	M	Simbad	068.634090	+15.827556
440	 100.02	 -28.37	  8.532	  7.903	  6.745	  6.552	  6.445	       	21.74	 1.57	39.33	22.66	-0.70	  1.14	M	Simbad	068.647122	+15.504619
441	  72.07	   5.97	       	       	 11.725	 11.174	 10.930	 15.363	15.58	20.32	39.71	21.98	 1.19	  0.31	M	Simbad	068.662858	+06.633896
442	 100.65	 -31.54	       	       	  9.042	  8.410	  8.235	 11.768	22.08	 2.00	39.36	22.60	-1.51	  0.65	M	Simbad	068.666401	+15.209052
443	  98.46	 -39.26	 12.350	 11.403	  8.654	  8.030	  7.914	 10.606	21.24	 3.33	38.74	23.65	 0.09	  0.74	M	Simbad	068.708723	+20.394591
444	  87.21	  -3.90	 12.883	 11.749	  8.828	  8.142	  7.973	 11.319	18.88	 9.71	39.75	21.91	-0.19	  0.79	M	Simbad	068.760626	+08.658490
445	  65.03	 -48.85	       	       	 10.790	 10.185	  9.923	 14.019	15.32	20.55	37.95	24.89	-3.73	  0.49	M	Simbad	068.763782	+24.854039
446	 102.24	 -14.72	       	       	 10.675	 10.100	  9.825	 14.508	22.01	 3.23	39.57	22.24	 0.75	  0.37	M	Simbad	068.773207	+13.173676
447	  93.85	 -47.83	       	       	 11.127	 10.530	 10.250	 15.571	20.54	 5.86	38.33	24.31	-0.48	  0.33	M	Simbad	068.804896	+22.989025
448	 109.16	  -8.60	       	       	 11.179	 10.547	 10.282	 15.492	23.64	 6.26	39.73	21.95	 0.52	  0.27	M	Simbad	068.852748	+10.747936
449	  95.15	 -30.23	       	       	 11.320	 10.721	 10.438	 15.426	20.99	 2.18	39.42	22.50	-1.41	  0.29	M	Simbad	068.868504	+15.399264
450	  61.16	 -13.87	       	       	 11.726	 11.133	 10.874	 15.201	13.39	28.63	39.59	22.19	-0.83	  0.38	M	Simbad	068.888676	+13.427613
451	  86.74	 -20.24	       	       	 10.731	 10.108	  9.867	 14.371	19.05	 6.99	39.63	22.13	-1.05	  0.42	M	Simbad	068.952128	+13.288061
452	  95.69	 -38.86	       	       	 10.733	 10.136	  9.862	 14.605	20.96	 3.22	38.92	23.35	-0.34	  0.38	M	Simbad	068.966729	+19.795842
453	  88.96	 -27.47	       	       	  8.358	  7.822	  7.627	       	19.51	 5.16	39.35	22.62	-0.44	  0.86	M	Simbad	069.000366	+16.540768
454	  87.80	 -37.15	       	       	  9.772	  9.148	  8.918	 13.015	19.53	 5.42	39.07	23.10	-1.23	  0.57	M	Simbad	069.017386	+18.888562
455	  90.71	 -24.15	 10.302	  9.343	  7.860	  7.505	  7.373	  9.102	19.82	 4.48	39.45	22.45	-0.11	  0.92	M	Simbad	069.021930	+15.684009
456	 111.39	 -52.44	  6.418	  6.019	  5.205	  5.062	  4.985	       	24.07	 7.13	38.38	24.24	 0.63	  1.54	M	Simbad	069.121410	+23.340858
457	  79.42	 -29.38	       	       	 10.590	  9.968	  9.707	 14.232	17.39	11.50	39.08	23.08	 0.01	  0.48	M	Simbad	069.128364	+19.090891
458	  97.72	 -49.06	       	       	 10.155	  9.538	  9.298	 13.831	21.48	 5.36	38.45	24.13	-0.15	  0.47	M	Simbad	069.158446	+23.041992
459	 103.91	 -40.49	       	       	  9.777	  9.153	  8.940	 12.733	23.02	 3.60	39.16	22.95	-0.68	  0.51	M	Simbad	069.162270	+18.615746
460	  95.15	 -22.58	  7.090	  6.625	  5.779	  5.609	  5.556	       	20.70	 2.65	39.48	22.39	 0.66	  1.46	M	Simbad	069.169677	+15.869329
461	 234.62	-151.82	  9.354	  8.108	  5.945	  5.400	  5.240	       	52.10	27.69	37.60	25.42	-0.47	  0.93	M	Simbad	069.201016	+27.132183
462	  87.86	 -41.03	       	       	 12.515	 11.910	 11.645	 16.673	18.70	 9.98	38.18	24.54	 1.45	  0.17	M	Simbad	069.225942	+24.498910
463	 160.40	-207.18	       	       	 11.075	 10.478	 10.206	 15.241	39.29	25.93	32.71	31.47	-3.03	  0.16	M	Simbad	069.259196	+42.511815
464	  76.27	 -37.85	       	       	 11.113	 10.523	 10.281	 14.679	17.21	12.45	38.89	23.41	-1.39	  0.38	M	Simbad	069.271547	+20.718149
465	  89.67	 -14.33	       	       	 11.714	 11.126	 10.827	 15.916	19.77	 6.03	39.83	21.77	-0.22	  0.25	M	Simbad	069.291292	+12.105538
466	  89.97	 -13.46	       	       	 11.634	 11.067	 10.784	 15.489	19.88	 6.29	39.87	21.69	-0.54	  0.25	M	Simbad	069.310691	+11.324127
467	  88.28	 -33.57	       	       	 10.182	  9.572	  9.311	 14.102	19.45	 5.85	39.12	23.02	 0.04	  0.51	M	Simbad	069.341250	+19.354842
468	  95.82	 -19.10	  8.153	  7.545	  6.365	  6.099	  5.992	       	20.91	 2.66	39.63	22.12	 1.03	  1.23	M	Simbad	069.383280	+15.146452
469	  90.27	 -24.10	       	       	 10.633	 10.011	  9.723	 14.852	19.75	 4.68	39.47	22.42	 0.69	  0.43	M	Simbad	069.383869	+16.758827
470	  94.36	  10.98	       	       	 10.620	 10.033	  9.749	 14.187	20.92	 9.96	39.97	21.51	 0.69	  0.40	M	Simbad	069.433788	+04.901844
471	  92.37	   8.72	 12.906	 11.473	  8.960	  8.312	  8.149	 10.938	20.47	10.47	39.98	21.49	 0.06	  0.70	M	Simbad	069.492673	+04.669777
472	 109.97	 -40.95	  6.102	  5.776	  5.398	  4.995	  4.977	       	24.99	 6.58	39.60	22.18	-1.87	  1.58	M	Simbad	069.539344	+16.033289
473	 102.41	 -15.79	  4.412	  4.262	  4.117	  4.078	  4.105	       	22.69	 4.42	39.89	21.65	 0.22	  2.26	M	Simbad	069.539429	+12.510836
474	  86.88	  -9.00	       	       	 11.410	 10.805	 10.529	 15.565	19.23	 7.59	39.96	21.53	 0.47	  0.30	M	Simbad	069.539512	+11.318142
475	  95.09	 -27.04	       	       	 11.384	 10.790	 10.526	 15.368	21.17	 2.24	39.62	22.14	-0.25	  0.27	M	Simbad	069.543976	+15.821511
476	  90.96	 -34.32	 11.419	 10.090	  7.890	  7.329	  7.138	  9.750	20.52	 3.19	39.45	22.44	-0.97	  0.97	M	Simbad	069.603941	+17.542432
477	 106.73	 -49.55	       	       	 11.950	 11.341	 11.073	 16.178	23.79	 6.07	38.86	23.45	 0.01	  0.18	M	Simbad	069.680835	+21.737336
478	 103.95	 -56.08	  8.103	  7.501	  6.454	  6.198	  6.162	       	23.47	 6.50	38.62	23.85	-0.54	  1.19	M	Simbad	069.713713	+23.149969
479	  94.00	 -37.72	       	       	 10.163	  9.506	  9.266	 13.515	21.11	 3.05	39.28	22.74	-0.34	  0.48	M	Simbad	069.728013	+19.182218
480	 103.25	 -22.62	  8.607	  7.951	  6.814	  6.520	  6.443	       	23.06	 4.12	39.85	21.73	-0.01	  1.11	M	Simbad	069.738810	+14.105577
481	  94.38	  -2.25	  5.654	  5.364	  5.180	  4.928	  4.808	       	21.11	 7.60	40.13	21.20	-0.21	  1.86	M	Simbad	069.775661	+07.870982
482	  83.14	 -20.97	  4.842	  4.665	  4.682	  4.547	  4.229	       	18.49	 8.12	39.71	21.98	 0.55	  2.27	M	Simbad	069.818759	+15.917973
483	  90.72	  59.79	       	       	 11.018	 10.411	 10.110	 14.558	20.26	25.01	37.60	25.43	-0.26	  0.35	M	Simbad	069.935832	-13.250216
484	  86.66	 -50.79	       	       	 12.474	 11.885	 11.538	 16.641	19.95	 7.23	38.62	23.85	-1.05	  0.17	M	Simbad	069.935961	+23.532752
485	 103.54	 -38.69	       	       	 12.689	 12.048	 11.736	 17.415	23.43	 4.35	39.50	22.36	-0.42	  0.13	M	Simbad	069.937407	+18.094783
486	 102.79	 -17.86	 11.107	 10.027	  8.089	  7.602	  7.480	  9.636	23.12	 4.88	40.03	21.39	 0.04	  0.81	M	Simbad	069.962386	+12.728474
487	  88.60	 -41.18	       	       	 11.365	 10.774	 10.441	 15.627	20.36	 4.35	39.29	22.72	-1.17	  0.30	M	Simbad	069.964993	+19.659566
488	  70.69	 -32.23	       	       	 10.317	  9.612	  9.423	 12.969	15.87	17.47	39.01	23.21	 0.15	  0.57	M	Simbad	069.982927	+21.494367
489	 103.19	 -52.88	 12.871	 11.215	  8.738	  8.059	  7.915	 10.835	23.20	 6.32	38.71	23.70	 0.08	  0.69	M	Simbad	069.987927	+23.137881
490	  79.59	 -76.83	       	       	 12.729	 12.109	 11.856	 16.896	18.90	16.48	35.96	27.70	-1.64	  0.16	M	Simbad	070.022136	+34.067567
491	  73.12	 -40.31	 10.211	  9.402	  7.996	  7.631	  7.565	  9.162	16.68	15.13	38.69	23.73	-0.52	  0.98	M	Simbad	070.024341	+23.304542
492	  99.64	 -64.18	 11.744	 10.626	  8.168	  7.583	  7.385	 10.333	22.95	 7.78	38.23	24.47	-0.84	  0.83	M	Simbad	070.038395	+25.592400
493	  94.14	 -40.78	       	       	  9.948	  9.363	  9.120	 13.117	21.53	 3.08	39.38	22.57	-0.77	  0.50	M	Simbad	070.052968	+19.286096
494	  96.02	 -29.09	 10.558	  9.475	  7.358	  6.809	  6.685	  9.062	21.71	 2.34	39.75	21.91	 0.00	  1.07	M	Simbad	070.106129	+16.513689
495	 113.81	 -41.30	       	       	 10.636	 10.027	  9.757	 14.526	25.80	 7.93	39.56	22.24	-0.15	  0.33	M	Simbad	070.117786	+18.087769
496	  61.98	 -22.19	       	       	 12.830	 12.204	 11.917	 17.113	14.05	25.07	39.58	22.22	-0.09	  0.21	M	Simbad	070.137556	+18.028386
497	 170.55	  49.37	 12.538	 11.052	  7.894	  7.255	  7.032	 10.612	39.40	22.73	40.11	21.24	 2.33	  0.64	M	Simbad	070.177017	+02.231115
498	  62.09	 -48.47	  9.540	  8.851	  7.601	  7.300	  7.231	       	15.48	19.67	38.65	23.79	-3.96	  1.10	M	Simbad	070.204449	+23.809624
499	  96.65	 -11.23	       	       	 11.696	 11.132	 10.823	 15.602	22.00	 6.63	40.28	20.92	-1.25	  0.22	M	Simbad	070.216857	+09.087587
500	  74.09	   5.68	       	       	 12.236	 11.602	 11.353	 16.853	16.81	17.28	40.26	20.96	-0.21	  0.23	M	Simbad	070.238382	+04.848485
501	 111.01	 -43.72	       	       	 12.627	 12.047	 11.702	 17.848	25.01	 7.15	39.36	22.61	 0.46	  0.13	M	Simbad	070.258085	+19.909414
502	  67.07	 -50.34	 10.130	  9.367	  8.113	  7.786	  7.689	  9.239	14.51	28.14	36.22	27.35	 1.71	  1.03	M	Simbad	070.334214	+33.522652
503	  86.90	 -21.93	       	       	  9.576	  8.938	  8.712	 12.884	19.93	 5.16	40.08	21.31	-0.55	  0.60	M	Simbad	070.365909	+14.076109
504	  94.37	 -15.67	       	       	  9.613	  8.981	  8.754	 12.338	21.56	 4.59	40.22	21.04	-0.22	  0.57	M	Simbad	070.369859	+12.009335
505	  83.87	  22.35	       	       	 10.205	  9.609	  9.348	 13.336	19.49	11.87	40.32	20.84	 3.36	  0.50	M	Simbad	070.444845	+04.436679
506	  80.14	  -1.10	       	       	 11.537	 11.014	 10.707	 15.227	18.32	12.02	40.38	20.73	-0.38	  0.29	M	Simbad	070.445297	+07.275691
507	  81.49	 -11.08	       	       	  9.988	  9.365	  9.119	 12.840	18.63	 8.92	40.28	20.92	 0.36	  0.56	M	Simbad	070.518939	+11.920461
508	  93.17	 -22.15	       	       	 11.889	 11.295	 11.011	 15.965	21.42	 3.43	40.14	21.20	-0.16	  0.21	M	Simbad	070.551887	+14.147606
509	  83.70	 -32.75	       	       	 10.860	 10.283	 10.020	 14.492	19.47	 5.83	39.77	21.87	-0.80	  0.38	M	Simbad	070.578425	+17.693971
510	  84.98	 -39.14	       	       	 10.822	 10.224	  9.994	 14.329	19.94	 5.32	39.57	22.23	-0.89	  0.38	M	Simbad	070.712218	+19.487176
511	  79.48	 -46.69	       	       	 10.885	 10.207	 10.010	 14.579	18.70	 9.64	38.92	23.36	-0.82	  0.40	M	Simbad	070.717377	+23.339572
512	  83.10	 -38.93	       	       	 10.892	 10.349	 10.084	 14.407	19.32	 7.01	39.41	22.51	-0.33	  0.38	M	Simbad	070.743692	+20.604842
513	  61.68	 -20.89	       	       	 10.248	  9.611	  9.395	 13.170	14.51	22.88	40.12	21.23	-1.28	  0.60	M	Simbad	070.802804	+15.314931
514	  93.48	 -30.51	 10.836	  9.920	  8.002	  7.528	  7.396	  9.556	21.60	 2.88	39.93	21.58	 0.12	  0.87	M	Simbad	070.815394	+17.069122
515	  87.93	  21.24	       	       	 10.638	 10.035	  9.741	 14.403	20.57	12.72	40.33	20.82	 1.12	  0.41	M	Simbad	070.820694	+02.007284
516	  92.87	 -58.78	       	       	 10.191	  9.531	  9.316	 13.578	22.06	 6.75	38.77	23.60	-0.98	  0.46	M	Simbad	070.853146	+24.296678
517	  76.75	 -48.86	       	       	 11.889	 11.319	 11.056	 15.821	15.92	22.70	36.63	26.81	 3.94	  0.29	M	Simbad	071.092419	+32.949639
518	  98.77	 -15.51	  5.662	  5.380	  4.962	  4.732	  4.733	       	23.18	 6.18	40.52	20.44	-0.50	  1.78	M	Simbad	071.107618	+11.146132
519	  64.92	 -20.76	       	       	 11.579	 10.988	 10.725	 15.435	14.97	20.84	39.94	21.57	 0.87	  0.36	M	Simbad	071.118194	+17.853077
520	  79.72	 -24.18	       	       	 11.802	 11.295	 10.948	 15.385	18.39	 8.75	40.00	21.46	 0.93	  0.26	M	Simbad	071.146450	+17.451193
521	  82.10	 -42.22	       	       	 10.561	  9.904	  9.655	 14.513	20.09	 4.96	39.89	21.66	-2.33	  0.43	M	Simbad	071.182332	+18.408245
522	  72.90	 -28.55	       	       	 12.163	 11.551	 11.252	 16.679	17.37	11.79	40.06	21.35	-0.84	  0.23	M	Simbad	071.251052	+17.272151
523	  82.47	 -15.87	       	       	  9.366	  8.669	  8.436	 12.473	19.33	 6.96	40.45	20.59	 0.53	  0.66	M	Simbad	071.331726	+13.574288
524	  74.79	 -25.77	       	       	 12.009	 11.465	 11.143	 16.202	17.76	10.62	40.18	21.11	-0.35	  0.24	M	Simbad	071.385686	+16.598257
525	  66.42	  -9.03	  5.566	  5.346	  4.996	  5.023	  4.974	       	15.71	18.42	40.63	20.23	 0.38	  2.14	M	Simbad	071.507252	+11.705586
526	  77.64	 -29.97	       	       	 11.922	 11.314	 11.067	 16.110	18.85	 7.69	40.30	20.88	-1.55	  0.23	M	Simbad	071.521731	+15.889994
527	  91.08	   5.42	       	       	 10.395	  9.817	  9.522	 14.518	21.64	 8.76	40.76	19.97	 0.77	  0.43	M	Simbad	071.538295	+06.750069
528	  93.69	  13.29	 12.189	 10.922	  8.570	  7.984	  7.826	 10.350	22.31	11.05	40.69	20.11	 0.19	  0.73	M	Simbad	071.578308	+03.636337
529	  90.06	 -34.05	       	       	 11.467	 10.867	 10.618	 15.619	21.52	 3.56	40.13	21.20	-0.23	  0.25	M	Simbad	071.613086	+17.626616
530	  86.93	 -23.84	  9.020	  8.294	  7.098	  6.843	  6.738	       	20.62	 4.33	40.38	20.72	 0.30	  1.09	M	Simbad	071.626610	+15.472052
531	  86.14	 -15.29	  7.796	  7.233	  6.150	  5.878	  5.841	       	20.71	 7.59	40.80	19.89	-2.30	  1.30	M	Simbad	071.689894	+09.017424
532	  88.39	  38.63	       	       	 11.541	 11.003	 10.689	 15.308	19.48	23.33	38.98	23.26	-3.18	  0.28	M	Simbad	071.697539	-09.929991
533	  98.08	 -32.79	 10.643	  9.581	  7.798	  7.298	  7.171	  9.348	23.14	 4.71	40.15	21.17	 0.71	  0.89	M	Simbad	071.706064	+17.748326
534	  86.48	 -15.64	       	       	 10.896	 10.275	 10.017	 14.525	20.59	 5.35	40.63	20.23	 0.36	  0.36	M	Simbad	071.720391	+12.883862
535	  68.50	 -66.10	       	       	 11.739	 11.152	 10.905	 15.414	17.65	16.43	37.57	25.47	-2.27	  0.28	M	Simbad	071.733532	+30.386694
536	  95.76	 -58.08	       	       	 12.499	 11.970	 11.661	 17.090	23.31	 7.02	39.27	22.77	-0.69	  0.14	M	Simbad	071.753586	+23.262581
537	  63.88	 -21.10	 10.972	 10.042	  8.460	  8.062	  8.013	  9.758	15.42	19.04	40.41	20.68	-0.54	  0.90	M	Simbad	071.776798	+15.728274
538	  99.52	 -49.49	 10.934	  9.769	  7.966	  7.436	  7.337	  9.437	23.97	 6.55	39.71	21.98	-0.24	  0.82	M	Simbad	071.787224	+20.882316
539	  94.55	 -52.62	       	       	  9.281	  8.643	  8.412	 11.691	22.29	 6.94	39.13	23.01	 0.63	  0.61	M	Simbad	071.790641	+24.020036
540	  81.92	  36.38	       	       	 12.669	 12.090	 11.742	 16.951	20.04	17.60	40.14	21.18	 1.08	  0.15	M	Simbad	071.813938	-03.394594
541	  87.96	 -14.81	       	       	 12.328	 11.739	 11.356	 16.580	20.84	 4.85	40.62	20.26	 1.09	  0.18	M	Simbad	071.815720	+13.557083
542	 107.73	  10.09	 12.608	 11.348	  8.651	  8.025	  7.875	 10.739	25.89	11.33	40.86	19.77	 1.23	  0.65	M	Simbad	071.827121	+06.453211
543	  87.16	 -43.88	       	       	 12.883	 12.269	 11.965	 17.375	20.54	 6.60	39.41	22.51	 0.78	  0.14	M	Simbad	071.850921	+22.663502
544	  81.07	 -41.33	 11.799	 10.674	  8.690	  8.134	  7.995	 10.284	19.04	 9.09	39.34	22.64	 0.91	  0.78	M	Simbad	071.859123	+23.050922
545	  88.84	 -22.62	 13.873	 11.312	  8.910	  8.309	  8.170	 10.971	21.26	 4.10	40.53	20.43	 0.36	  0.67	M	Simbad	071.897232	+14.889090
546	  70.20	  -4.81	       	       	 10.847	 10.246	  9.984	 14.424	16.82	15.01	40.83	19.82	 0.73	  0.44	M	Simbad	071.904712	+10.233000
547	  80.96	 -36.64	  9.258	  8.522	  7.217	  6.901	  6.837	       	19.87	 5.71	40.15	21.18	-1.06	  1.06	M	Simbad	071.906546	+18.258726
548	  91.89	  79.09	       	       	 10.350	  9.731	  9.471	 13.774	21.04	29.95	36.27	27.28	-1.46	  0.45	M	Simbad	071.916616	-20.176099
549	 110.51	 -83.08	 11.777	 10.603	  8.430	  7.877	  7.717	 10.116	27.60	12.56	38.70	23.71	-1.28	  0.65	M	Simbad	071.924160	+26.150231
550	  70.16	 -15.67	       	       	 11.337	 10.713	 10.455	 15.342	17.00	13.70	40.73	20.04	-0.55	  0.36	M	Simbad	071.956956	+12.691449
551	  66.46	   3.07	       	       	 12.053	 11.460	 11.152	 15.889	16.03	18.83	40.91	19.66	 0.95	  0.27	M	Simbad	071.975226	+07.370719
552	  73.88	 -41.04	       	       	 10.631	 10.011	  9.771	 14.173	17.03	15.35	38.85	23.47	 1.67	  0.48	M	Simbad	071.982110	+25.579765
553	  86.20	 -30.25	 12.450	 11.215	  8.214	  7.592	  7.374	 10.585	20.80	 4.25	40.33	20.82	 0.03	  0.89	M	Simbad	072.003694	+17.056017
554	  69.85	 -88.80	       	       	 12.494	 11.922	 11.624	 16.760	18.96	18.71	35.66	28.08	-2.99	  0.17	M	Simbad	072.053995	+36.734143
555	  67.57	 -39.12	       	       	 12.783	 12.165	 11.874	 16.971	17.04	13.54	39.89	21.66	-1.74	  0.17	M	Simbad	072.123938	+20.446023
556	  88.47	 -35.80	       	       	  9.415	  8.773	  8.543	 11.875	21.93	 3.93	40.45	20.59	-1.34	  0.59	M	Simbad	072.127667	+16.388535
557	  79.42	 -32.25	       	       	 11.581	 10.996	 10.708	 15.749	19.21	 7.26	40.16	21.15	 0.17	  0.28	M	Simbad	072.145827	+18.729069
558	  99.15	 -31.09	  9.904	  9.057	  7.522	  7.153	  7.072	       	22.28	 5.37	39.80	21.83	 3.53	  0.94	M	Simbad	072.175566	+21.101026
559	  70.76	 -19.34	 10.509	  9.658	  8.233	  7.830	  7.737	  9.442	17.00	13.28	40.53	20.44	 0.81	  0.91	M	Simbad	072.215347	+15.947543
560	  83.46	 -27.20	       	       	 11.001	 10.418	 10.131	 15.147	20.45	 4.92	40.57	20.34	-0.40	  0.34	M	Simbad	072.248293	+15.604844
561	  83.01	 -39.65	  9.814	  8.967	  7.486	  7.141	  7.059	       	20.68	 4.80	40.21	21.06	-1.11	  0.99	M	Simbad	072.264674	+18.641241
562	  87.05	 -26.04	       	       	 11.245	 10.639	 10.348	 15.202	21.52	 4.68	40.75	19.98	-1.11	  0.29	M	Simbad	072.293994	+13.811453
563	  63.27	 -19.42	       	       	 10.472	  9.836	  9.605	 13.493	15.05	20.70	40.34	20.80	 1.40	  0.56	M	Simbad	072.296191	+17.715440
564	  84.47	 -52.42	 10.579	  9.492	  7.582	  7.120	  6.956	  9.161	20.48	 8.22	39.12	23.01	 0.25	  1.03	M	Simbad	072.304107	+24.802841
