#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2019-09-11T12:47:16 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5d78ecc14dd2	
#INFO	-out.max=unlimited	
#INFO	queryParameters=32	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:B/ocl&tab:{B/ocl/clusters}&key:source=B/ocl/clusters&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=B/ocl/clusters
#-order=I
#-out=P
#-out=Cluster
#-out=RAJ2000
#-out=DEJ2000
#-out=Class
#-out=Diam
#-out=Dist
#-out=E(B-V)
#-out=Age
#-out=pmRA
#-out=pmDE
#-out=Nc
#-out=K14
#K14=K14
#-out=RV
#-out=o_RV
#-out=[Fe/H]
#-out=o_[Fe/H]
#-out=TrType
#-out=WEBDA
#WEBDA=WEBDA
#-out=Lynga
#Lynga=Lynga
#

#RESOURCE=yCat_102022
#Name: B/ocl
#Title: Optically visible open clusters and Candidates (Dias+ 2002-2015)
#Table	B_ocl_clusters:
#Name: B/ocl/clusters
#Title: The Catalogue Data File (V3.5)
#Column	P	(A1)	VizieR added column, not part of original data	[ucd=meta.ref.url]
#Column	Cluster	(a17)	Cluster name	[ucd=meta.id;meta.main]
#Column	RAJ2000	(A8)	Right Ascension J2000	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A9)	Declination J2000	[ucd=pos.eq.dec;meta.main]
#Column	Class	(A2)	Flag for classification of the cluster (G1)	[ucd=meta.code]
#Column	Diam	(F6.1)	[0.2/1400]? Angular apparent diameter	[ucd=phys.angSize]
#Column	Dist	(I5)	[25/15000]? Distance from WEBDA [NULL integer written as an empty string]	[ucd=pos.distance;pos.heliocentric]
#Column	E(B-V)	(F6.3)	[0/6]? Colour excess in BV	[ucd=phot.color.excess]
#Column	Age	(F6.3)	[6/10.1]? Age (in log t)	[ucd=time.age]
#Column	pmRA	(F7.2)	? Mean proper motion of the cluster in RA	[ucd=pos.pm;pos.eq.ra]
#Column	pmDE	(F7.2)	? Mean proper motion of the cluster in Dec	[ucd=pos.pm;pos.eq.dec]
#Column	Nc	(I5)	[1/14341]? Estimated number of cluster members [NULL integer written as an empty string]	[ucd=meta.number]
#Column	K14	(A3)	Details from Kharchenko et al. 2014 (J/A+A/558/A53)	[ucd=meta.ref.url]
#Column	RV	(F7.2)	? Radial Velocity	[ucd=spect.dopplerVeloc;pos.heliocentric]
#Column	o_RV	(I3)	[0/537]? Number of stars used to determine RV [NULL integer written as an empty string]	[ucd=meta.number]
#Column	[Fe/H]	(F6.3)	[-1.6/0.5]? Metallicity	[ucd=phys.abund.Z]
#Column	o_[Fe/H]	(I2)	[0/60]? Number of stars used to determine [Fe/H] [NULL integer written as an empty string]	[ucd=meta.number]
#Column	TrType	(A8)	Trumpler type determined in the DSS inspection (concentration-brightness-richness-nebulosity)	[ucd=src.class]
#Column	WEBDA	(a5)	Find out what exists about this cluster in the WEBDA data-base	[ucd=meta.ref.url]
#Column	Lynga	(a5)	VizieR added column, not part of original data	[ucd=meta.ref.url]
P	Cluster	RAJ2000	DEJ2000	Class	Diam	Dist	E(B-V)	Age	pmRA	pmDE	Nc	K14	RV	o_RV	[Fe/H]	o_[Fe/H]	TrType	WEBDA	Lynga
P	Trumpler 35      	18 42 54	-04 08 00	  	   5.0	 1206	 1.218	 7.862	   0.34	  -3.23	  127	K14	  -4.70	   	      	  	        	WEBDA	Lynga
 	Andrews Lindsay 5	18 44 19	-04 55 48	  	   2.3	 2289	 2.415	 6.000	   2.59	  -6.33	   17	K14	       	   	      	  	        	WEBDA	Lynga
P	Berkeley 79      	18 45 12	-01 13 00	  	   6.0	 2300	 1.190	 7.810	   1.67	   1.32	   83	K14	       	   	      	  	        	WEBDA	Lynga
P	NGC 6694         	18 45 18	-09 23 00	  	   7.0	 1660	 0.510	 8.260	  -1.73	  -0.91	    1	K14	  -9.10	  2	-0.090	  	        	WEBDA	Lynga
 	FSR 0087         	18 46 00	-03 37 15	IR	   4.6	 1174	 1.562	 8.250	   1.66	   0.04	   17	K14	       	   	      	  	        	WEBDA	Lynga
 	FSR 0098         	18 47 31	+00 36 51	IR	   1.8	 5387	 1.999	 6.100	   0.54	  -6.54	   59	K14	       	   	      	  	        	WEBDA	Lynga
 	NGC 6698         	18 48 04	-25 52 42	  	  11.0	 1150	 0.320	 9.280	  -6.79	   0.42	  403	K14	       	   	      	  	        	WEBDA	Lynga
P	Basel 1          	18 48 12	-05 51 00	  	   5.0	 2178	 0.482	 7.893	  -1.07	  -3.24	  181	K14	       	   	      	  	        	WEBDA	Lynga
 	FSR 0089         	18 48 39	-03 30 34	IR	   5.0	 1516	 1.853	 8.300	   1.03	  -2.91	   17	K14	       	   	      	  	        	WEBDA	Lynga
 	ASCC 99          	18 49 05	-18 43 48	  	  27.6	  280	 0.150	 8.710	   6.90	  -2.50	    7	K14	 -31.30	  1	      	  	        	WEBDA	Lynga
 	FSR 0101         	18 49 14	+02 46 06	IR	   2.8	 1900	 2.370	 8.950	   0.99	  -0.98	   67	K14	       	   	      	  	        	WEBDA	Lynga
 	Czernik 38       	18 49 42	+04 56 00	  	   5.0	 1910	 2.030	 7.000	   1.77	  -4.86	   38	K14	       	   	      	  	1-2-r-* 	WEBDA	Lynga
 	FSR 0094         	18 49 50	-01 02 55	IR	   0.8	 2069	 2.644	 6.000	   0.99	  -6.71	   11	K14	       	   	      	  	        	WEBDA	Lynga
 	FSR 0090         	18 50 20	-03 34 42	IR	   2.6	 1388	 0.895	 8.695	  -0.29	  -3.68	   19	K14	       	   	      	  	        	WEBDA	Lynga
 	Ruprecht 145     	18 50 36	-18 15 00	  	  35.0	  320	 0.180	 7.500	   6.10	  -5.31	   20	K14	  -8.80	  2	-0.127	 1	3-1-m-* 	WEBDA	Lynga
P	NGC 6704         	18 50 45	-05 12 18	  	   5.0	 2974	 0.717	 7.863	  -1.69	  -2.04	  179	K14	       	   	      	  	        	WEBDA	Lynga
P	NGC 6705         	18 51 05	-06 16 12	  	  32.0	 1877	 0.428	 8.400	  -1.23	   1.31	 5367	K14	  35.08	 15	 0.000	27	        	WEBDA	Lynga
P	NGC 6709         	18 51 18	+10 19 06	  	  14.0	 1075	 0.304	 8.178	  -0.17	  -2.62	  700	K14	 -10.22	  2	      	  	        	WEBDA	Lynga
 	Teutsch 146      	18 51 34	+00 11 10	  	   1.6	 3800	 1.830	 8.600	  -1.35	   2.03	   15	K14	       	   	      	  	        	WEBDA	Lynga
P	Collinder 394    	18 52 16	-20 12 12	  	  22.0	  690	 0.235	 7.803	   1.96	  -3.78	 1433	K14	   6.00	   	      	  	        	WEBDA	Lynga
P	Stephenson 1     	18 53 30	+36 55 00	  	  20.0	  390	 0.040	 7.731	   1.40	  -2.46	  261	K14	 -27.47	  3	      	  	        	WEBDA	Lynga
 	Berkeley 80      	18 54 22	-01 13 00	  	   4.0	 1413	 1.310	 8.600	   0.91	   0.26	   52	K14	       	   	 0.000	  	2-1-p-* 	WEBDA	Lynga
P	NGC 6716         	18 54 34	-19 54 06	  	  10.0	  789	 0.220	 7.961	   0.45	  -1.56	  390	K14	   6.00	  1	-0.310	  	        	WEBDA	Lynga
 	Archinal 1       	18 54 49	+05 32 54	  	   2.0	 1413	 1.520	 7.100	  -0.29	  -3.13	   49	K14	       	   	      	  	2-3-p-* 	WEBDA	Lynga
 	Poole J1855+10.8 	18 55 03	+10 47 21	  	   6.0	 4457	 0.791	 8.975	  -1.72	  -3.20	  126	K14	       	   	      	  	        	WEBDA	Lynga
 	Alessi 62        	18 55 49	+21 34 49	  	  23.0	  546	 0.167	 8.950	  -1.84	  -2.48	 1102	K14	       	   	      	  	        	WEBDA	Lynga
 	Poole J1856+10.8 	18 55 53	+10 46 17	  	   3.5	 4389	 0.895	 8.975	  -0.90	  -3.09	   75	K14	       	   	      	  	        	WEBDA	Lynga
 	ESO 524 01       	18 56 37	-26 57 39	  	   6.0	 2800	 0.300	 9.500	  -1.49	  -4.76	  126	K14	       	   	      	  	        	WEBDA	Lynga
 	NGC 6724         	18 56 45	+10 26 47	  	   6.0	 1105	 1.000	 8.950	  -1.21	  -3.59	  138	K14	       	   	      	  	        	WEBDA	Lynga
 	NGC 6728         	18 58 44	-08 58 12	  	  15.6	 1000	 0.150	 8.930	  -0.78	  -5.95	 1056	K14	       	   	      	  	        	WEBDA	Lynga
 	NGC 6735         	19 00 37	-00 28 30	  	  12.0	 1466	 0.870	 8.700	   1.00	  -1.71	  505	K14	       	   	      	  	        	WEBDA	Lynga
 	NGC 6743         	19 01 20	+29 16 36	  	   7.0	 1111	 0.190	 9.150	   1.09	  -4.09	  120	K14	       	   	      	  	        	WEBDA	Lynga
 	NGC 6738         	19 01 21	+11 36 54	n 	  15.0	  700	 0.050	 9.160	   1.19	  -3.20	  626	K14	       	   	      	  	4-2-p-* 	WEBDA	Lynga
 	ASCC 100         	19 01 37	+33 34 12	  	  37.2	  350	 0.020	 8.010	   2.29	  -1.51	   11	K14	 -25.96	  3	      	  	        	WEBDA	Lynga
P	Berkeley 81      	19 01 40	-00 27 22	  	   5.0	 3000	 1.000	 9.000	   1.46	  -0.70	  186	K14	  48.10	 17	-0.150	 6	        	WEBDA	Lynga
 	NGC 6737         	19 02 20	-18 32 59	n 	   8.8	 2120	 0.760	 8.700	  -0.97	  -1.75	  264	K14	       	   	      	  	        	WEBDA	Lynga
 	FSR 0100         	19 03 54	-00 01 34	IR	   2.1	 2687	 2.186	 8.000	   1.56	  -3.61	   30	K14	       	   	      	  	        	WEBDA	Lynga
 	ESO 397 01       	19 04 09	-33 23 06	  	   6.0	 1089	 0.190	 9.100	  -0.50	  -3.65	   83	K14	       	   	      	  	4-3-p-* 	WEBDA	Lynga
 	Alessi 56        	19 06 52	+09 35 00	  	   2.2	 3900	 2.000	      	   0.23	   0.17	   18	K14	       	   	      	  	        	WEBDA	Lynga
 	Juchert 3        	19 07 33	+06 17 10	  	   3.0	  828	 1.670	 8.950	  -1.27	  -2.35	   12	K14	       	   	      	  	        	WEBDA	Lynga
 	Czernik 39       	19 07 44	+04 20 00	  	   2.5	 1340	 2.900	 7.000	  -6.03	  -7.96	   38	K14	       	   	      	  	3-2-m-* 	WEBDA	Lynga
P	NGC 6755         	19 07 49	+04 16 00	  	  14.0	 1421	 0.826	 7.719	   0.19	  -3.16	  713	K14	  26.63	  2	      	  	        	WEBDA	Lynga
P	NGC 6756         	19 08 42	+04 42 18	  	   4.0	 1507	 1.180	 7.790	  -1.03	  -3.43	  121	K14	       	   	 0.100	  	        	WEBDA	Lynga
 	FSR 0107         	19 09 02	+01 32 10	IR	   7.2	 2847	 1.020	 9.100	  -1.73	  -4.49	  288	K14	       	   	      	  	        	WEBDA	Lynga
 	Riddle 15        	19 11 09	+14 50 04	  	   0.8	 6288	 1.420	 9.100	  -3.67	  -7.00	   36	K14	       	   	      	  	        	WEBDA	Lynga
P	Berkeley 82      	19 11 20	+13 07 06	  	   2.0	  860	 1.021	 7.493	  -0.06	  -4.38	    3	K14	  -2.80	  2	      	  	        	WEBDA	Lynga
 	FSR 0124         	19 11 42	+12 03 05	IR	   3.2	 3026	 1.228	 8.750	   0.98	  -1.37	   86	K14	       	   	      	  	        	WEBDA	Lynga
 	FSR 0123         	19 11 42	+12 03 05	IR	   1.8	 3308	 1.249	 8.760	   2.05	  -1.01	   54	K14	       	   	      	  	        	WEBDA	Lynga
 	ASCC 101         	19 13 37	+36 19 48	  	  43.2	  350	 0.000	 8.520	   0.81	   1.87	   12	K14	 -32.00	  1	      	  	        	WEBDA	Lynga
 	ESO 282 26       	19 13 52	-42 38 54	p 	  15.0	 1400	 0.100	 9.110	   1.92	  -6.59	  199	K14	       	   	      	  	4-3-p-* 	WEBDA	Lynga
 	NGC 6773         	19 15 03	+04 52 54	  	   8.6	 2160	 1.160	 8.000	  -2.57	  -1.55	  206	K14	       	   	      	  	        	WEBDA	Lynga
 	Berkeley 43      	19 15 36	+11 13 00	  	   5.0	 1030	 2.300	 8.500	  16.65	  18.80	    6	K14	       	   	 0.000	  	2-1-m-* 	WEBDA	Lynga
 	Ruprecht 147     	19 16 42	-16 17 00	  	  25.0	  295	 0.250	 9.400	  -1.10	 -27.30	     	K14	  41.07	  4	      	  	4-2-p-* 	WEBDA	Lynga
 	NGC 6775         	19 16 48	-00 55 24	  	   2.4	 1185	 0.480	 8.950	   2.28	  -7.45	   50	K14	       	   	      	  	        	WEBDA	Lynga
 	ESO 231 30       	19 16 52	-51 29 30	  	  20.0	 3276	 0.073	 9.500	  -0.41	  -4.76	  283	K14	  43.65	  1	      	  	4-3-p-* 	WEBDA	Lynga
 	Berkeley 44      	19 17 12	+19 33 00	  	  10.0	 1800	 1.400	 9.110	   0.99	  -4.92	  173	K14	  -9.60	 32	      	  	3-1-m-* 	WEBDA	Lynga
 	ESO 141 47       	19 18 03	-57 54 12	p 	   7.0	 1787	 0.330	 9.100	   2.90	  -7.89	   57	K14	 -23.50	  1	      	  	        	WEBDA	Lynga
 	Berkeley 45      	19 19 12	+15 43 00	  	   2.0	 2350	 1.400	 8.600	   0.12	  -3.97	   40	K14	       	   	      	  	2-1-p-* 	WEBDA	Lynga
 	ESO 337 23       	19 19 13	-37 37 18	  	   5.0	 1995	 0.312	 9.200	  -0.58	  -3.68	   32	K14	       	   	      	  	        	WEBDA	Lynga
P	NGC 6791         	19 20 53	+37 46 18	  	  10.0	 5035	 0.160	 9.920	  -0.83	  -4.91	  321	K14	 -47.40	193	 0.420	21	        	WEBDA	Lynga
 	Alessi 57        	19 20 54	+15 40 36	  	   2.5	 3900	 2.110	      	   0.57	  -5.89	   19	K14	       	   	      	  	        	WEBDA	Lynga
 	FSR 0126         	19 21 09	+13 46 30	IR	   6.2	 2110	 1.176	 6.950	   2.02	  -2.38	   47	K14	       	   	      	  	        	WEBDA	Lynga
 	Juchert 1        	19 22 32	+12 40 00	  	   3.2	 2623	 1.270	 9.100	   2.59	   1.79	   10	K14	       	   	      	  	        	WEBDA	Lynga
 	NGC 6793         	19 23 14	+22 08 30	  	   6.0	 1100	 0.170	 8.640	   2.90	   1.41	  139	K14	       	   	      	  	3-2-p-* 	WEBDA	Lynga
 	FSR 0134         	19 24 30	+16 53 33	IR	   3.3	 2478	 1.645	 7.000	   1.42	  -7.25	   21	K14	       	   	      	  	        	WEBDA	Lynga
 	ASCC 102         	19 24 50	+29 57 00	  	  21.6	 1500	 0.000	 8.790	  -1.00	  -1.40	 1232	K14	       	   	      	  	        	WEBDA	Lynga
 	Kronberger 13    	19 25 15	+13 56 42	  	   1.2	 1380	 1.130	 8.600	   1.65	   4.07	   12	K14	       	   	      	  	        	WEBDA	Lynga
 	Dolidze 35       	19 25 24	+11 39 30	d 	   7.0	  708	 0.570	 8.600	  -2.18	  -4.01	   54	K14	       	   	 0.000	  	4-2-p-* 	WEBDA	Lynga
 	FSR 0118         	19 25 45	+08 05 42	IR	   2.7	 2883	 0.625	 9.025	  -5.78	  -3.56	   61	K14	       	   	      	  	        	WEBDA	Lynga
 	FSR 0129         	19 26 56	+13 58 56	IR	   6.2	 1305	 1.312	 8.480	  -0.39	   0.18	   52	K14	       	   	      	  	        	WEBDA	Lynga
 	NGC 6800         	19 27 07	+25 08 24	  	   5.0	 1000	 0.400	 8.590	  -0.53	  -3.27	  110	K14	       	   	      	  	4-1-p-* 	WEBDA	Lynga
 	ESO 525 08       	19 27 16	-23 34 35	  	   6.0	 1640	 0.360	 9.000	   0.99	  -1.43	   61	K14	       	   	      	  	        	WEBDA	Lynga
 	Berkeley 47      	19 28 36	+17 22 06	  	   3.0	 1070	 1.500	 8.700	   0.45	   0.88	   48	K14	       	   	      	  	2-2-p-* 	WEBDA	Lynga
 	King 26          	19 29 01	+14 52 02	  	   4.4	 2600	 1.270	 8.640	   0.21	  -2.55	   73	K14	       	   	      	  	2-1-p-* 	WEBDA	Lynga
 	Teutsch 40       	19 29 16	+23 18 38	  	   5.0	 2980	 0.960	 8.900	  -3.83	  -0.12	   98	K14	       	   	      	  	        	WEBDA	Lynga
 	FSR 0133         	19 29 47	+15 34 28	IR	   7.6	 2814	 2.186	 8.415	   0.77	  -3.46	   73	K14	       	   	      	  	        	WEBDA	Lynga
 	Teutsch 42       	19 30 13	+18 32 09	  	   1.2	 1600	 2.550	 7.500	  -1.96	  -5.06	   11	K14	       	   	      	  	        	WEBDA	Lynga
P	NGC 6802         	19 30 35	+20 15 42	  	   5.0	 1778	 0.840	 8.980	  -1.82	  -4.30	  167	K14	  12.40	 25	 0.030	  	        	WEBDA	Lynga
 	FSR 0131         	19 30 42	+15 25 59	IR	   3.4	 1303	 2.873	 6.700	  -2.08	  -2.85	   10	K14	       	   	      	  	        	WEBDA	Lynga
 	Kronberger 79    	19 33 55	+18 31 12	  	   2.1	 2700	 1.300	 8.350	   3.03	  -3.09	   56	K14	       	   	      	  	        	WEBDA	Lynga
 	FSR 0142         	19 35 39	+20 07 44	IR	   4.5	 2669	 1.145	 6.400	  -2.40	  -0.69	   74	K14	       	   	      	  	        	WEBDA	Lynga
 	Stock 1          	19 35 48	+25 13 00	  	  52.0	  318	 0.160	 8.480	   5.72	   1.44	   18	K14	       	   	      	  	        	WEBDA	Lynga
 	Teutsch 35       	19 35 56	+35 40 06	  	  43.2	  700	 0.000	 8.370	  -1.96	  -2.57	 3662	K14	       	   	      	  	        	WEBDA	Lynga
P	NGC 6811         	19 37 17	+46 23 18	  	  14.0	 1215	 0.160	 8.799	  -4.47	  -7.63	  319	K14	   6.68	  5	-0.020	 2	        	WEBDA	Lynga
 	Teutsch 27       	19 37 23	+18 41 55	  	   3.6	 2480	 0.960	 8.780	  -1.76	  -5.00	   68	K14	       	   	      	  	        	WEBDA	Lynga
 	Collinder 401    	19 38 21	+00 20 43	nf	   1.0	     	      	      	  -3.22	   4.57	   11	K14	       	   	      	  	        	WEBDA	Lynga
 	ASCC 104         	19 38 53	+18 41 24	  	  57.6	  800	 0.330	 7.710	  -0.09	  -4.65	   22	K14	  -6.68	  3	      	  	        	WEBDA	Lynga
 	Saurer 5         	19 39 31	+25 38 42	  	   1.8	 8329	 1.150	 9.050	  -6.11	   5.06	   13	K14	       	   	      	  	        	WEBDA	Lynga
 	Kronberger 31    	19 40 11	+26 15 48	  	   1.3	11900	 0.840	      	  -3.94	  -2.92	   40	K14	       	   	      	  	        	WEBDA	Lynga
P	NGC 6819         	19 41 16	+40 11 49	  	  13.0	 2403	 0.160	 9.360	  -6.07	  -3.57	  873	K14	   2.30	537	-0.020	 0	        	WEBDA	Lynga
 	ASCC 105         	19 41 46	+27 22 48	  	  72.0	  500	 0.090	 8.000	   0.91	  -3.76	   32	K14	 -18.75	  2	      	  	        	WEBDA	Lynga
 	Skiff J1942+38.6 	19 42 24	+38 39 00	  	  10.0	 2642	 0.125	 9.250	  -6.47	  -5.12	  285	K14	       	   	      	  	        	WEBDA	Lynga
 	Collinder 404    	19 42 28	+23 05 16	  	   0.8	     	      	      	       	       	     	K14	       	   	      	  	        	WEBDA	Lynga
 	Alessi 44        	19 42 33	+01 31 23	  	  79.2	  500	 0.350	 8.420	  -1.16	  -2.74	   14	K14	 -62.20	  1	      	  	        	WEBDA	Lynga
 	Czernik 40       	19 42 36	+21 09 14	  	  14.4	 3090	 0.990	 8.900	  -1.37	  -4.48	  492	K14	       	   	      	  	2-2-m-* 	WEBDA	Lynga
 	Teutsch 43       	19 42 46	+29 51 37	  	   2.6	 2100	 1.380	 9.300	  -4.43	  -4.46	   25	K14	       	   	      	  	        	WEBDA	Lynga
P	NGC 6823         	19 43 09	+23 18 00	  	   6.0	 3176	 0.854	 6.500	  -1.41	  -3.04	    2	K14	  13.59	  2	      	  	        	WEBDA	Lynga
 	FSR 0160         	19 44 44	+26 54 36	IR	   2.2	 2289	 0.937	 8.690	  -3.83	  -3.89	   90	K14	       	   	      	  	        	WEBDA	Lynga
 	Turner 9         	19 44 49	+29 15 54	  	  33.0	  852	      	 8.200	  -1.62	  -4.35	 4918	K14	 -18.52	  6	      	  	        	WEBDA	Lynga
 	Roslund 1        	19 45 00	+17 31 00	  	   3.0	  670	 0.050	 8.470	   1.18	  -7.08	    7	K14	       	   	      	  	4-1-p-* 	WEBDA	Lynga
 	Kronberger 4     	19 45 11	+28 09 40	  	   1.3	 7900	 0.560	      	  -2.80	  -4.69	   50	K14	       	   	      	  	        	WEBDA	Lynga
 	Turner 8         	19 45 16	+27 50 30	  	   5.0	 2160	 1.160	 9.700	  -0.60	  -5.73	   86	K14	       	   	      	  	        	WEBDA	Lynga
 	Roslund 2        	19 45 24	+23 55 00	  	  14.0	 2000	 0.900	 6.890	  -1.13	  -4.10	  271	K14	   1.00	  1	      	  	4-2-p-n 	WEBDA	Lynga
 	Dolidze 53       	19 46 23	+24 39 05	o 	  12.8	 1392	 0.874	 7.335	  -0.99	  -3.49	  190	K14	  -1.00	  1	      	  	        	WEBDA	Lynga
 	Teutsch 7        	19 47 42	+24 15 34	  	   8.0	 7070	 1.570	 8.480	  -0.11	  -1.66	  131	K14	       	   	 0.170	 3	        	WEBDA	Lynga
 	FSR 0154         	19 47 58	+23 21 02	IR	   0.8	 4394	 1.509	 7.000	  -3.58	  -5.33	  215	K14	       	   	      	  	        	WEBDA	Lynga
 	FSR 0158         	19 47 59	+26 01 56	IR	   1.2	 2769	 1.208	 8.505	   0.58	  -6.26	   29	K14	       	   	      	  	        	WEBDA	Lynga
 	NGC 6832         	19 48 15	+59 25 18	  	  24.0	 1750	 0.100	 9.480	  -1.17	  -2.94	  353	K14	       	   	      	  	        	WEBDA	Lynga
P	Turner 1         	19 48 25	+27 17 35	  	   4.0	 1675	 0.476	 7.460	  -3.48	  -3.81	   64	K14	   0.50	  1	      	  	        	WEBDA	Lynga
 	ASCC 107         	19 48 32	+21 57 36	  	  13.2	  700	 0.200	 8.410	   0.93	  -4.04	  423	K14	  -7.00	  1	      	  	        	WEBDA	Lynga
 	NGC 6827         	19 48 53	+21 12 54	r 	   3.0	 4550	 0.780	 8.980	   1.92	  -5.07	   70	K14	       	   	      	  	2-2-m-* 	WEBDA	Lynga
 	Dias 7           	19 49 21	+21 10 12	  	  10.0	 2540	 0.420	 9.300	   0.48	  -6.19	  410	K14	       	   	      	  	        	WEBDA	Lynga
 	NGC 6828         	19 50 17	+07 54 12	n 	   9.0	  600	 0.200	 8.560	   0.25	  -4.98	  152	K14	 -21.00	  1	      	  	        	WEBDA	Lynga
P	NGC 6830         	19 50 59	+23 06 00	  	   5.0	 1639	 0.501	 7.572	   0.89	  -2.76	    1	K14	 -30.90	  1	 0.240	  	        	WEBDA	Lynga
 	Czernik 41       	19 51 01	+25 16 07	  	   4.4	 1360	 1.280	 8.700	  -2.49	  -2.60	   68	K14	       	   	      	  	3-2-m-* 	WEBDA	Lynga
 	Saurer 6         	19 51 02	+32 14 35	  	   1.8	 9330	 0.770	 9.290	  -2.08	  -1.56	   34	K14	       	   	      	  	        	WEBDA	Lynga
 	FSR 0182         	19 51 46	+33 30 43	IR	   1.2	 4569	 0.625	 9.000	  -2.79	  -3.78	   60	K14	       	   	      	  	        	WEBDA	Lynga
 	Dias 8           	19 52 06	+11 38 04	  	  10.0	 2220	 0.300	 9.350	  -2.56	  -3.28	  237	K14	       	   	      	  	        	WEBDA	Lynga
P	NGC 6834         	19 52 12	+29 24 30	  	   5.0	 2067	 0.708	 7.883	  -3.43	  -3.16	  171	K14	  -6.80	  1	      	  	        	WEBDA	Lynga
P	Harvard 20       	19 53 06	+18 20 00	  	   7.0	 1604	 0.229	 8.050	  -1.68	  -0.93	  241	K14	       	   	      	  	        	WEBDA	Lynga
 	NGC 6837         	19 53 08	+11 41 54	  	   4.6	  943	 0.250	 9.000	  -1.61	  -0.76	   60	K14	       	   	      	  	4-1-p-* 	WEBDA	Lynga
 	ASCC 108         	19 53 49	+39 22 12	  	  26.4	 1100	 0.050	 8.640	  -0.21	  -0.81	   12	K14	       	   	      	  	        	WEBDA	Lynga
 	ASCC 109         	19 54 00	+34 34 48	  	  60.0	  450	 0.000	 8.310	   0.47	  -2.23	   16	K14	       	   	      	  	        	WEBDA	Lynga
 	NGC 6839         	19 54 33	+17 56 18	  	   6.0	 1410	 0.290	 9.150	  -0.85	  -3.28	  196	K14	       	   	      	  	4-1-p-* 	WEBDA	Lynga
 	NGC 6840         	19 55 18	+12 07 36	  	   6.0	 1970	 0.250	 9.110	  -0.65	   1.01	  103	K14	       	   	      	  	        	WEBDA	Lynga
 	NGC 6843         	19 56 06	+12 09 48	  	   5.0	 1945	 0.300	 9.110	   0.38	   2.75	   89	K14	       	   	      	  	        	WEBDA	Lynga
 	NGC 6846         	19 56 28	+32 20 54	  	   2.0	 4450	 1.050	 8.700	   0.12	  -3.95	   83	K14	       	   	      	  	4-1-p-* 	WEBDA	Lynga
 	NGC 6847         	19 56 37	+30 12 48	r 	  20.0	 1894	 0.580	 8.700	  -0.81	  -2.83	 1191	K14	       	   	      	  	4-3-r-n 	WEBDA	Lynga
 	SAI 132          	19 57 01	+31 36 31	  	   8.0	 2860	 0.940	 8.750	  -1.75	  -3.81	  272	K14	       	   	      	  	        	WEBDA	Lynga
 	FSR 0165         	19 58 06	+26 45 31	IR	   7.9	 2628	 1.249	 6.910	  -1.32	  -2.76	  137	K14	       	   	      	  	        	WEBDA	Lynga
 	Kronberger 52    	19 58 08	+30 53 18	  	   1.2	  705	 2.450	 8.110	  -0.87	  -3.79	   39	K14	       	   	      	  	        	WEBDA	Lynga
 	Loiano 1         	19 58 14	+32 32 42	  	   6.0	 2700	 0.440	 8.400	  -0.70	  -4.63	  136	K14	       	   	      	  	        	WEBDA	Lynga
P	Roslund 3        	19 58 42	+20 29 00	  	   5.0	 1467	 0.348	 8.036	  -0.98	  -4.74	  153	K14	  -4.70	   	      	  	        	WEBDA	Lynga
 	NGC 6856         	19 59 17	+56 07 48	r 	   3.2	 1704	 0.160	 9.260	  -2.85	  -6.54	   18	K14	       	   	      	  	3-2-p-* 	WEBDA	Lynga
 	Berkeley 49      	19 59 30	+34 38 30	  	   2.5	 2090	 1.180	 8.900	  -2.90	  -3.30	   47	K14	       	   	      	  	1-1-p-* 	WEBDA	Lynga
 	Patchick 89      	19 59 33	+49 18 50	  	   1.4	 1845	 0.330	 9.350	   4.55	  -5.38	   19	K14	       	   	      	  	        	WEBDA	Lynga
 	FSR 0163         	20 00 19	+25 25 16	IR	   4.4	 3412	 1.041	 8.550	  -1.48	  -4.80	   74	K14	       	   	      	  	        	WEBDA	Lynga
 	Kronberger 68    	20 00 36	+30 35 23	  	   2.2	  710	 2.190	 8.300	  -3.27	  -5.46	   62	K14	       	   	      	  	        	WEBDA	Lynga
 	Berkeley 83      	20 01 18	+28 37 00	  	   2.0	 5728	 1.300	 8.950	  -3.03	  -6.91	   66	K14	       	   	 0.000	  	2-1-p-* 	WEBDA	Lynga
 	Toepler 1        	20 01 18	+33 37 12	  	   1.5	 2793	 0.650	 7.850	  -3.49	  -7.96	   52	K14	       	   	      	  	        	WEBDA	Lynga
 	FSR 0162         	20 01 32	+25 14 06	IR	   1.5	 1721	 0.687	 8.950	  -0.02	  -6.15	   10	K14	       	   	      	  	        	WEBDA	Lynga
 	Kronberger 69    	20 01 59	+31 26 18	  	   4.0	 6140	 1.800	 7.850	  -2.63	  -2.75	  107	K14	       	   	      	  	        	WEBDA	Lynga
 	FSR 0188         	20 02 05	+33 55 09	IR	   3.4	 3354	 1.312	 8.200	  -1.14	  -5.43	   97	K14	       	   	      	  	        	WEBDA	Lynga
