TIC ID,CTOI,Promoted to TOI,MASTER,SG1A,SG1B,SG2,SG3,SG4,SG5,User Disposition,TFOPWG Disposition,TESS Mag,TESS Mag err,RA,Dec,PM RA (mas/yr),PM RA err (mas/yr),PM Dec (mas/yr),PM RA (mas/yr).1,Transit Epoch (BJD),Transit Epoch (BJD) err,Period (days),Period (days) Error,Depth mmag,Depth mmag Error,Depth ppm,Depth ppm Error,Duration (hrs),Duration (hrs) Error,Inclination (deg),Inclination (deg) Error,Impact Param,Impact Param Error,Rad_p/Rad_s,Rad_p/Rad_s Error,a/Rad_s,a/Rad_s Error,Planet Radius (R_Earth),Planet Radius (R_Earth) Error,Mass (M_Earth),Mass (M_Earth) Error,Insolation (Earth Flux),Insolation (Earth Flux) Error,Equilibrium Temp (K),Equilibrium Temp (K) Error,Fitted Stellar Density (g/cm^3),Fitted Stellar Density (g/cm^3) Error,Semi-Major Axis (AU),Semi-Major Axis (AU) Error,Eccentricity,Eccentricity (Error),Arg of Periastron,Arg of Periastron Error,Time of Periastron (BJD),Time of Periastron (BJD) Error,Velocity Semi-amp (m/s),Velocity Semi-amp (m/s) Error,Stellar Distance (pc),Stellar Distance (pc) err,Stellar Eff Temp (K),Stellar Eff Temp (K) err,Stellar log(g) (cm/s^2),Stellar log(g) (cm/s^2) err,Stellar Radius (R_Sun),Stellar Radius (R_Sun) err,CTOI lastmod,User,Group,Tag,Notes
332954788,332954788.01,,,,,,,,,PC,,11.4081,0.006,35.696665,-2.638447,15.085,0.061,-73.42699999999999,0.055999999999999994,2459144.55714,,0.6998305,,0.551042,0.020521,507.4,18.9,1.319,0.109,,,0.48,0.38,,,,,2.05,0.27,,,2733.4,,1842.0,,,,0.0151,,,,,,,,,,211.87099999999998,1.75,5481.6,98.9524,4.53066,0.07195889999999999,0.8807200000000001,0.0390754,2021-01-27 08:24:39,spencer,,93708,Corrected transit depth of 441.7 (+/-83.6) ppm; USP candidate
333136751,333136751.01,,,,,,,,,PC,,9.77942,0.006999999999999999,11.721535000000001,16.050520000000002,-117.664,0.10099999999999999,-52.448,0.06,2458778.821,0.003,,,0.727687,0.010856999999999999,670.0,10.0,5.327999999999999,4.008,,,,,,,,,1.23,0.009000000000000001,,,,,,,,,,,,,,,,,,,20.0675,0.02405,3546.0,157.0,4.7950800000000005,0.00525656,0.434813,0.012852200000000001,2020-11-25 02:33:27,steuer,,52111,Found with our in-house single transit finder; transit finder output attached under 'Files'
333734769,333734769.01,2396.01,,,,,,,,PC,,11.4944,0.006999999999999999,170.150082,-26.153136,-16.317999999999998,0.063,-2.465,0.052000000000000005,2458542.5108,0.0024,1.50942,0.00022999999999999998,2.158416,,1986.0,,0.079,0.008,79.83,2.97,0.76,0.07,0.045,0.006,4.33,1.07,8.64,1.56,,,,,,,0.67,0.58,,,,,,,,,,,469.61300000000006,10.402999999999999,5735.0,128.094,3.95665,0.0819015,1.7579599999999997,0.09434169999999999,2020-08-10 07:20:18,montalto,,29434,"new CTOI, Montalto et al. (2020)"
333736132,333736132.01,,,,,,,,,PC,,12.0742,0.006,170.27633600000001,-26.066616,-43.452,0.059000000000000004,-13.511,0.042,2459283.545,0.01,,,17.512254000000002,1.086279,16000.0,1000.0,3.0,0.2,,,,,,,,,10.5,0.5,,,,,,,,,,,,,,,,,,,183.078,1.2805,4722.0,127.053,4.55866,0.09313760000000001,0.7567729999999999,0.0555528,2021-05-10 03:18:03,gsun,,96946,"newCTOI, Single transit"
333785427,333785427.01,,,,,,,,,PC,,10.0801,0.015,307.775774,75.811622,18.212,0.045,16.666,0.04,2459391.1864,0.0006,1.57932,5.9999999999999995e-05,4.8090459999999995,0.083496,4419.5,76.9,2.1923,,,,,,,,3.33,0.08,18.75,0.88,,,,,,,,,,,,,,,,,,,368.58099999999996,3.6069999999999998,6393.0,161.19299999999998,3.77085,0.0922557,2.4390099999999997,0.11176900000000001,2021-09-18 19:01:47,gsun,,100010,newCTOI
333792947,333792947.01,,,,,,,,,PC,,10.1883,0.006,120.18224599999999,36.784866,-51.923,0.061,-50.698,0.04,2459605.441,0.017,,,1.673323,0.021715,1540.0,20.0,2.733,2.0,,,,,,,,,4.136,0.028999999999999998,,,,,,,,,,,,,,,,,,,148.089,0.905,5816.0,125.948,4.4901,0.0793428,0.963275,0.0458794,2022-02-25 09:09:20,vogl,,108325,Found with our in-house single transit finder; Sector 47
334482103,334482103.01,2564.01,,,,,,,,PC,,12.4683,0.006,123.272901,9.447683999999999,4.662,0.057,-19.348,0.033,2458492.273302,,3.7259830000000003,,9.324052,,8551.0,,2.1324,,,,0.348,,0.08835,,,,11.636581838234491,,,,,,,,,,,,,,,,,,,,486.785,7.7875,5698.0,117.70200000000001,4.32634,0.07409810000000001,1.14295,0.058693499999999996,2021-02-08 16:07:01,olmschenk,,94070,Identification and vetting detailed in https://arxiv.org/abs/2101.10919.
334597566,334597566.01,,,,,,,,,PC,,12.0471,0.006,331.313408,64.09814300000001,-6.183,1.557,0.040999999999999995,1.557,2458743.399,0.05,9.11,0.01,3.806742,0.814608,3500.0,750.0,10.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,507.236,,6511.0,,,,1.48364,,2021-05-13 17:10:20,grunblatt,,97001,hot Jupiter candidate around subgiant star
334632624,334632624.01,4361.01,,,,,,,,PC,,8.6661,0.006,141.34766399999998,-15.922146,66.673,0.07200000000000001,-59.705,0.077,2459262.07,0.02,,,7.626879,0.543004,7000.0,500.0,6.2,0.5,,,,,,,,,3.5,0.2,,,,,,,,,,,,,,,,,,,98.2063,0.44725,5944.0,125.14299999999999,4.30249,0.0780578,1.2203899999999999,0.0575729,2021-04-16 18:01:52,gsun,,96356,newCTOI
334949878,334949878.01,,,,,,,,,PC,,11.0275,0.023,331.74242999999996,60.558108,-2.399,0.048,-3.4789999999999996,0.046,2458741.39255,0.00143,19.47842,0.00022999999999999998,141.37253700000002,,122088.0,,3.6,0.0,86.4,0.2,1.258,0.055,0.349,0.051,,,87.0,12.8,,,,,,,,,0.2126,0.0011,,,,,,,,,811.3510000000001,15.767000000000001,9460.0,369.435,3.99476,0.0702487,2.58621,0.0850703,2021-09-07 08:21:56,nardiello,,99720,"new CTOI likely member of Alessi Teutsch 5, PATHOS-68 in Nardiello et al. (2021)"
335684494,335684494.01,,,,,,,,,PC,,11.3384,0.018000000000000002,332.839671,61.650245999999996,-1.7380000000000002,0.05,-3.036,0.053,2458956.51237276,0.00475785,1.09961773,0.00034649999999999997,1.695071,0.347491,1560.0,320.0,2.717,0.27,,,0.7490000000000001,0.107,0.04111,0.0038299999999999996,2.36,0.15,10.83,1.1,,,,,,,,,,,,,,,,,,,808.995,17.0765,8129.0,192.72299999999998,3.968,0.077196,2.4174900000000004,0.0804271,2022-02-19 11:17:05,bouma,tfopwg,108227,"Qual:B,CM,9.5e+06yr. Rp=(0.78-1.16)Rj. b=0.55-0.90 (3-97HDI)."
335952150,335952150.01,5732.01,,,,,,,,PC,,10.2071,0.008,265.55658700000004,53.203934999999994,-8.573,0.039,8.136000000000001,0.061,2458880.3243,0.0043,,,2.107286,2.04093,1939.0,1878.0,,,,,,,,,,,6.8161,3.3137,,,,,,,,,,,,,,,,,,,275.45599999999996,1.6505,6710.0,128.511,4.29122,0.09004880000000001,1.41609,0.0612438,2022-04-28 22:03:58,dragomir,tfopwg,415398,single transit event from the TSTPC working group
336075472,336075472.01,4632.01,,,,,,,,PC,,10.6329,0.006,276.862418,45.454489,32.536,0.038,111.749,0.039,2459028.176,0.004,,,1.7385689999999998,0.32577,1600.0,300.0,5.4,0.4,,,,,,,,,3.1,0.4,,,,,,,,,,,,,,,,,,,65.4707,0.09755,4152.0,121.771,4.55825,0.11156600000000001,0.702045,0.0657186,2020-09-17 08:26:15,eisner,,35868,PHT candidate. Single transit event.
336399144,336399144.01,3946.01,,,,,,,,PC,,12.475,0.019,334.013781,61.057559999999995,4.407,0.046,-1.347,0.048,2458738.92371,,5.70334,,3.36099,,3090.8,,3.372,,,,0.848,,0.06171,,,,8.021898514910951,,,,,,,,,,,,,,,,,,,,519.9169999999999,6.3385,5933.0,164.447,4.28229,0.0840888,1.24337,0.05804019999999999,2021-02-08 16:07:01,olmschenk,,94071,Identification and vetting detailed in https://arxiv.org/abs/2101.10919.
336892053,336892053.01,,,,,,,,,PC,,10.9939,0.006,17.970833,2.62601,26.686999999999998,0.09,-12.663,0.054000000000000006,2459495.867,0.02,,,4.896839,0.543004,4500.0,500.0,6.7,0.5,,,,,,,,,7.0,0.5,,,,,,,,,,,,,,,,,,,199.082,1.9325,5643.93,107.322,4.479419999999999,0.07478710000000001,0.9539850000000001,0.043055300000000005,2021-11-13 22:19:51,gsun,,101989,"newCTOI, Single transit"
337217173,337217173.01,,,,,,,,,PC,,11.5546,0.008,39.824290999999995,7.470835000000001,480.81699999999995,0.158,-137.416,0.149,2459164.3524,0.0018,,,6e-06,0.0,0.0058,0.0002,2.148,0.011000000000000001,,,,,0.0765,0.0019,,,2.121,0.083,,,,,,,,,,,,,,,,,,,20.0182,0.0459,3236.0,157.0,4.98108,0.012649500000000001,0.253923,0.00770025,2021-01-04 08:56:58,zhou,,92926,Single Transit in Sector-31. Transit-like feature in Sector-4 due to asteroid crossing
337385330,337385330.01,5112.01,,,,,,,,PC,,10.1857,0.008,110.30446599999999,17.588565,-67.888,0.08,-57.018,0.08199999999999999,2459515.712,0.00449175,15.536292999999999,0.0034100000000000003,0.748509,0.088174,689.1646178,81.208309,3.4733129000000003,0.13388145,,,0.37961350000000005,0.26895359999999996,0.0262519,0.00154275,32.5973269,4.66393635,1.7356625,0.11495885,,,10.103431599999999,3.98406215,496.21941960000004,44.683199,,,0.091454,0.01348955,,,,,2459511.828,0.0052257,,,43.8372,0.087,3973.0,157.0,4.6462699999999995,0.0110193,0.6058520000000001,0.018068599999999997,2022-01-04 05:47:15,mason,,104971,PHT Community. Super earth orbiting a K dwarf
339368119,339368119.01,,,,,,,,,PC,,11.5702,0.006,85.10283199999999,64.57596,26.62,2.0,-43.59,2.0,2458819.62,,4.8,,0.20917600000000003,,192.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,261.555,,5549.0,,,,1.0458399999999999,,2021-05-19 10:14:06,chiarello,,97173,"Camera 2, CCD 4, Column 1099, Row 2004, Sector 19"
339451334,339451334.01,,,,,,,,,PC,,11.6321,0.006,296.256908,-60.795801000000004,-1.33,0.049,-3.1719999999999997,0.043,2458652.6917,0.0027,1.93773,0.00029,4.544618,,4177.0,,0.055,0.006,84.63,1.2,0.78,0.05,0.065,0.006,8.27,1.25,11.6,1.54,,,,,,,2.85,1.7,,,,,,,,,,,535.618,10.148,6292.0,134.274,4.10168,0.0862861,1.6336,0.0794322,2020-08-10 07:20:18,montalto,,29514,"new CTOI, Montalto et al. (2020)"
340228388,340228388.01,3458.01,,,,,,,,PC,,12.6553,0.006,201.340644,-71.012028,18.365,0.021,6.044,0.022000000000000002,2458599.301058,,3.172658,,18.950592999999998,,17302.7,,2.2609,,,,0.812,,0.13154000000000002,,,,14.279399751029189,,,,,,,,,,,,,,,,,,,,302.055,1.46,5056.0,126.682,4.48316,0.0837189,0.8701450000000001,0.052560300000000004,2021-02-08 16:07:01,olmschenk,,94072,Identification and vetting detailed in https://arxiv.org/abs/2101.10919.
341411516,341411516.01,,,,,,,,,PC,,10.6727,0.006,119.923973,-59.267752,29.546,0.045,6.4239999999999995,0.046,2458490.4018,0.0086,3.10911,0.00043,1.298231,,1195.0,,0.152,0.009000000000000001,87.29,1.11,0.3,0.15,0.027000000000000003,0.003,6.39,0.28,2.67,0.45,,,,,,,0.51,0.12,,,,,,,,,,,172.22099999999998,0.7005,5920.0,128.467,4.55956,0.07566260000000001,0.903573,0.0426256,2020-08-10 07:20:18,montalto,,29351,"new CTOI, Montalto et al. (2020)"
341492896,341492896.01,,,,,,,,,PC,,11.8629,0.006,120.408469,-55.934279000000004,-2.165,0.037000000000000005,-2.133,0.036000000000000004,2458491.5725,0.0091,3.7324300000000004,0.00056,2.346639,,2159.0,,0.193,0.012,86.99,1.12,0.32,0.19,0.038,0.006,6.07,0.28,10.09,1.96,,,,,,,0.3,0.09,,,,,,,,,,,772.948,11.4175,6165.0,139.38,3.7339900000000004,0.0815007,2.43293,0.11506300000000001,2020-08-10 07:20:18,montalto,,29506,"new CTOI, Montalto et al. (2020)"
341840536,341840536.01,,,,,,,,,PC,,8.821819999999999,0.006,267.891375,55.241634,10.296,0.04,-12.717,0.039,2458811.66,0.02,2.1959999999999997,0.001,0.369213,0.021715,340.0,20.0,9.862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,182.468,0.6435,6821.0,127.376,4.131390000000001,0.0839,1.7264099999999998,0.07160810000000001,2020-06-30 23:19:28,deen,,19861,appears reliably for 18 transits. Possible shallow second dip could indicate rotation but it looks real.
341983711,341983711.01,,,,,,,,,PC,,13.1335,0.006999999999999999,332.80496899999997,52.6266,49.271,0.061,21.0,0.061,2458786.49,0.02,2.516,0.001,15.307713,1.086279,14000.0,1000.0,4.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.8226,0.3748,3539.0,157.0,4.77032,0.00682363,0.46261199999999997,0.013890399999999999,2020-06-30 23:07:39,deen,,19860,"appears confidently for 8 transits in a row, but only appears once during the previous 7."
342004815,342004815.01,,,,,,,,,PC,,11.647,0.006,122.48701200000001,-58.796533,-9.197000000000001,0.039,-6.942,0.049,2459286.5730000003,0.05,,,5.442298,0.543004,5000.0,500.0,10.5,0.5,,,,,,,,,16.5,0.5,,,,,,,,,,,,,,,,,,,645.398,8.391501,6293.0,122.961,3.8715599999999997,0.08761669999999999,2.12915,0.0947263,2021-05-13 17:21:02,gsun,,97004,"newCTOI,Single transit event"
342167886,342167886.01,2891.01,,,,,,,,PC,,11.7498,0.006999999999999999,122.890573,-57.315236999999996,2.861,0.207,-0.627,0.18100000000000002,2459297.111,0.01,17.3,0.1,10.912014,1.086279,10000.0,1000.0,5.2,0.5,,,,,,,,,19.8,1.0,,,,,,,,,,,,,,,,,,,627.007,44.5875,6693.0,139.809,4.07404,0.10715,1.8119900000000002,0.159206,2021-03-12 02:49:58,gsun,,95083,newCTOI
342866210,342866210.01,,,,,,,,,PC,,14.172,0.006999999999999999,328.566837,59.615359999999995,-68.5,0.099,-110.2,0.08199999999999999,2458787.505,0.005,2.537,0.004,141.26371,2.1736470000000003,122000.0,2000.0,3.1860000000000004,,,,,,,,,,5.17,0.05,,,,,,,,,,,,,,,,,,,117.117,0.649,3550.0,157.0,4.86022,0.00128534,0.364176,0.011176700000000001,2020-07-01 00:07:38,deen,,19862,"Possibly EB, secondary transit of ~45000 ppm, but too small to be a star."
343320735,343320735.01,,,,,,,,,PC,,14.4603,0.006999999999999999,341.36043,56.439197,6.733,0.087,-49.357,0.079,2458962.606,0.01,12.415999999999999,0.001,130.19095,5.442298,113000.0,5000.0,6.861000000000001,,,,,,,,,,12.81,0.21,,,,,,,,,,,,,,,,,,,92.1881,0.44955,3446.0,157.0,4.9591400000000005,0.00953788,0.271183,0.00827438,2020-07-01 01:15:44,deen,,19865,"possibly EB, secondary transit of ~74000 ppm- brown dwarf?"
343933335,343933335.01,,,,,,,,,PC,,13.9836,0.006,93.403012,-40.526806,-1.757,0.10800000000000001,3.147,0.09699999999999999,2458471.996693,,4.370299,,13.393285999999998,,12259.9,,5.7771,,,,0.589,,0.109,,,,13.633770226148489,,,,,,,,,,,,,,,,,,,,1004.5,61.5985,6036.0,122.0,4.382969999999999,,1.12761,,2021-02-08 16:07:01,olmschenk,,94073,Identification and vetting detailed in https://arxiv.org/abs/2101.10919.
344085117,344085117.01,2365.01,,,,,,,,PC,,11.9732,0.006,108.017449,-50.247778000000004,8.126,0.043,-20.872,0.040999999999999995,2458468.5775,0.0028,0.65971,5e-05,1.424334,,1311.0,,0.054000000000000006,0.004,46.84,7.35,1.05,0.06,0.12,0.11599999999999999,1.53,0.2,16.39,16.69,,,,,,,0.16,0.06,,,,,,,,,,,415.13699999999994,3.9495,5832.0,126.955,4.26466,0.0765747,1.25112,0.0609448,2020-08-10 07:20:18,montalto,,29494,"new CTOI, Montalto et al. (2020)"
344087362,344087362.01,,,,,,,,,PC,,10.0801,0.006,108.179961,-53.148194999999994,-2.039,0.043,6.412000000000001,0.051,2458467.3201,0.003,14.495920000000002,0.00078,3.920061,,3604.0,,0.27,0.009000000000000001,83.68,0.37,0.94,0.01,0.061,0.008,8.52,0.46,26.8,4.82,,,,,,,0.06,0.02,,,,,,,,,,,616.952,7.901,6279.0,132.939,3.3185800000000003,0.0890707,4.024369999999999,0.186611,2020-08-10 07:20:18,montalto,,29348,"new CTOI, Montalto et al. (2020)"
344713453,344713453.01,,,,,,,,,PC,,12.18,0.006999999999999999,15.52749,2.473854,76.896,0.078,44.283,0.040999999999999995,2459490.965,0.026000000000000002,,,6.9164080000000006,1.0319399999999999,6350.0,950.0,3.133,1.609,,,,,,,,,4.846,0.35100000000000003,,,,,,,,,,,,,,,,,,,91.3857,0.29855,3792.0,157.0,4.68865,0.00973482,0.556142,0.0164536,2021-11-24 09:02:29,vogl,,102294,Found with our in-house single transit finder; Sector 43
345324572,345324572.01,,,,,,,,,PC,,12.3024,0.006999999999999999,355.476581,59.876831,-40.681,0.087,23.609,0.084,2458980.18,0.01,2.5660000000000003,0.001,39.807415,5.442298,36000.0,5000.0,6.2010000000000005,,,,,,,,,,9.06,0.65,,,,,,,,,0.027739999999999997,0.00043,,,,,,,,,50.3992,0.14715,3122.0,157.0,4.79287,0.00553847,0.43728599999999995,0.0130524,2020-07-01 16:51:35,deen,,19873,"possibly EB, every other dip might be second transit of 30,000 ppm- hard to tell."
345327044,345327044.01,,,,,,,,,PC,,9.36233,0.006,355.71114,59.192615,-5.955,0.045,-1.932,0.044000000000000004,2458765.53,,1.15,,0.065515,,60.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,208.71099999999998,1.4385,6246.0,143.511,4.01163,0.0808332,1.798,0.0801307,2021-07-10 15:20:08,chiarello,,98286,"Camera 2, CCD 1, Column 1661, Row 61, Sector 17"
345850353,345850353.01,,,,,,,,,PC,,8.5993,0.006,301.52004,5.251444,-77.956,0.09300000000000001,-363.227,0.049,2459775.65172,0.002,6.261,0.002,1.1188850000000001,0.076004,1030.0,70.0,2.9,0.7,,,,,,,,,2.6,0.2,,,,,,,,,,,,,,,,,,,36.0339,0.08445,4647.05,107.79899999999999,4.55832,0.08311410000000001,0.749016,0.048864300000000006,2022-10-06 12:12:47,eisner,,420407,PHT candidate.
347332255,347332255.03,,,,,,,,,PC,,7.6621,0.006,189.839224,20.027338,-81.959,0.083,-104.589,0.044000000000000004,2459640.15936,0.003,9.113999999999999,0.003,0.705958,0.054288,650.0,50.0,3.0,0.06,,,,,,,,,2.2,0.4,,,,,,,,,,,,,,,,,,,32.1585,0.05705,5297.0,107.552,4.61016,0.07761489999999999,0.782479,0.0380352,2022-05-12 10:20:04,eisner,,415714,PHT candidate.
347332255,347332255.04,,,,,,,,,PC,,7.6621,0.006,189.839224,20.027338,-81.959,0.083,-104.589,0.044000000000000004,2459643.787,0.001,13.674000000000001,0.003,0.912402,0.054288,840.0,50.0,3.0,0.06,,,,,,,,,2.4,0.5,,,,,,,,,,,,,,,,,,,32.1585,0.05705,5297.0,107.552,4.61016,0.07761489999999999,0.782479,0.0380352,2022-05-12 10:23:56,eisner,,415714,PHT candidate. 3:2 resonance.
347357977,347357977.01,2370.01,,,,,,,,PC,,11.4878,0.006,132.898822,-16.386277,-11.963,0.053,-4.376,0.035,2458514.2367,0.0031,12.68587,,2.758013,,2537.0,,0.18,0.011000000000000001,88.64,0.52,0.49,0.14,0.049,0.003,20.78,1.36,5.58,0.67,,,,,,,1.05,0.47,,,,,,,,,,,294.752,2.722,5851.0,125.119,4.42557,0.0793486,1.043,0.049964800000000004,2020-08-10 07:20:18,montalto,,29402,"new CTOI, Montalto et al. (2020)"
348063710,348063710.01,,,,,,,,,PC,,11.7674,0.006,281.562985,18.877448,6.905,0.04,1.014,0.047,2459760.749,0.006,,,5.769705,0.5973189999999999,5300.0,550.0,9.0,0.4,,,,,,,,,11.7,0.8,,,,,,,,,,,,,,,,,,,506.57199999999995,6.7285,6666.0,172.273,4.2439,0.09315880000000001,1.4833,0.06550249999999999,2022-09-01 10:24:37,eisner,,418815,PHT candidate. Additional transit in Sector 26 FFIs
348608380,348608380.01,,,,,,,,,PC,,11.0914,0.022000000000000002,35.558161,57.322464000000004,-0.36,0.073,-0.845,0.085,2458806.9224,0.0028899999999999998,16.30258,0.39281,169.272302,,144360.0,,6.6,0.3,85.9,0.3,1.111,0.075,0.38,0.061,,,141.3,23.3,,,,,,,,,0.2476,0.004,,,,,,,,,1957.23,149.755,8447.0,123.0,,,7.0033,,2021-09-07 08:21:56,nardiello,,99721,"new CTOI likely member of NGC 884, PATHOS-69 in Nardiello et al. (2021)"
348755728,348755728.01,1883.01,3.0,4.0,3.0,3.0,4.0,4.0,4.0,PC,,13.3462,0.008,134.089246,-12.930644000000001,30.75,0.106,3.168,0.192,2458517.809802,,4.5059,,10.435052,,9565.0,,1.973,,,,,,,,,,5.0,1.0,,,,,,,,,,,,,,,,,,,115.369,0.8545,3477.0,157.0,4.74303,0.00821872,0.493576,0.014963299999999999,2019-05-02 07:28:11,collins,tfopwg,3443,Originally from TIC 348755723.01 (TOI 633.01)
348756659,348756659.01,4823.01,,,,,,,,PC,,12.3474,0.008,134.192296,-12.572658,-27.316,0.07400000000000001,24.101,0.086,2458514.8834,0.0006,3.7250900000000002,0.00013000000000000002,19.905938,,18167.0,,0.136,0.004,88.51,0.18,0.25,0.14,0.128,0.003,9.55,0.1,13.95,1.07,,,,,,,1.19,0.24,,,,,,,,,,,401.311,8.785,5736.0,124.945,4.45097,0.0818252,0.9975,0.052625599999999995,2020-08-10 07:20:18,montalto,,29394,"new CTOI, Montalto et al. (2020)"
348835438,348835438.01,2669.01,,,,,,,,PC,,9.9917,0.006999999999999999,134.722645,-13.312579000000001,18.680999999999997,0.062,-11.117,0.06,2458521.5,0.25,6.21,0.01,1.412375,0.217169,1300.0,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,393.44300000000004,6.3565,4859.0,122.0,,,3.97986,,2020-12-16 09:28:43,grunblatt,,61192,hot Jupiter candidate around RGB star
349096525,349096525.01,,,,,,,,,PC,,6.0755,0.006,108.00826599999999,-63.190076,-2.0,0.9,-5.8,1.0,2459260.81,0.016,,,0.24996500000000002,6.500000000000001e-05,230.2,0.06,0.6,8.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147.71,,,,,,,,2021-05-04 04:30:30,steuer,,96877,Found with our in-house single transit finder
349118653,349118653.01,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,PC,FP,13.8635,0.018000000000000002,114.19041100000001,-20.50155,-3.065,0.03,2.971,0.038,2458492.4392762003,0.0020285791251808405,0.7560075688316441,0.00011307769615981345,22.971229,1.036668,20935.038673819563,954.350375029464,2.850589638007593,0.15864712699704148,67.25454213095857,3.640284949247076,0.7585796387655241,0.1272447065910121,0.14468945598701918,0.004663972348280865,1.9619900981025344,0.14107719300373533,44.77157834298073,13.431473502894216,,,,,,,,,,,,,,,,,,,2664.32,174.625,7680.0,122.0,3.78767,,2.83684,,2019-11-24 08:47:57,bouma,tfopwg,5954,"Cand VHJ in NGC2421 (CG18). Either stellar EB, or contracting planet / BD. Worth checking. (CDIPS; Bouma+19)"
349154435,349154435.01,,,,,,,,,PC,,12.2068,0.006,108.180297,-62.01650600000001,5.49,0.036000000000000004,1.409,0.038,2458326.0992,,4.430556,,4538.942577000001,,984709.454862382,,1.9333333333333302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,493.80300000000005,4.4145,5832.0,137.007,4.19776,0.076942,1.3512899999999999,0.0691734,2019-06-06 03:40:31,lipponen,,3787,sector1
349154435,349154435.02,,,,,,,,,PC,,12.2068,0.006,108.180297,-62.01650600000001,5.49,0.036000000000000004,1.409,0.038,2458328.2783,,4.430556,,3626.143803,,964556.020324187,,2.46666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,493.80300000000005,4.4145,5832.0,137.007,4.19776,0.076942,1.3512899999999999,0.0691734,2019-06-06 03:40:31,lipponen,,3787,sector1
349155660,349155660.01,,,,,,,,,PC,,13.4929,0.006,108.351777,-63.988526,-0.05,0.038,3.61,0.032,2458335.1362,0.0014,0.69792,0.0002,14.977417,0.651637,13700.0,600.0,1.9369999999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1035.09,18.725,5285.0,122.0,3.8589900000000004,,1.85807,,2019-04-23 14:02:04,feinstein,,3347,"Feinstein, A.~D., Montet, B.~T., Foreman-Mackey, D., et al.\ 2019, arXiv e-prints , arXiv:1903.09152."
349373226,349373226.01,,,,,,,,,PC,,11.2686,0.006,110.242117,-60.182933999999996,-11.273,0.038,21.925,0.039,2458325.1368,0.0017,0.60807,,0.490864,,452.0,,0.121,0.008,89.67,0.0,0.01,0.2,0.019,0.001,1.62,0.04,2.78,0.31,,,,,,,0.22,0.05,,,,,,,,,,,369.017,2.371,6490.59,115.95100000000001,4.30771,0.0861097,1.34,0.059015099999999994,2020-08-10 07:20:18,montalto,,29515,"new CTOI, Montalto et al. (2020)"
349488688,349488688.01,2319.01,,,,,,,,PC,,8.40302,0.006,253.784885,20.491524,14.755,0.032,44.68899999999999,0.037000000000000005,2458994.2819999997,0.008,11.625,0.008,0.760281,0.32577,700.0,300.0,,,,,,,,,,,3.4,1.7,,,,,,,,,,,,,,,,,,,107.898,0.317,6329.0,134.955,4.24509,0.09257560000000001,1.39619,0.0640704,2020-08-07 06:23:12,eisner,,29216,PHT candidate.
349488688,349488688.02,,,,,,,,,PC,,8.40302,0.006,253.784885,20.491524,14.755,0.032,44.68899999999999,0.037000000000000005,2459002.7706,0.0011,,,1.6298270000000001,0.217169,1500.0,200.0,6.31,0.07,,,,,,,,,5.66,0.4,,,,,,,,,,,,,,,,,,,107.898,0.317,6329.0,134.955,4.24509,0.09257560000000001,1.39619,0.0640704,2020-08-07 06:27:12,eisner,,29216,PHT candidate. Single transit event.
349518145,349518145.01,,,,,,,,,PC,,12.6017,0.006,111.25589,-61.316497999999996,0.084,0.135,18.599,0.11699999999999999,2458327.5796,,4.139583,,35.807466,,32441.987536470897,,2.7666666666666697,,,,,,,,,,23.1024432483555,,,,,,,,,,,,,,,,,,,,703.5260000000001,29.244,6121.0,131.755,4.13666,0.0926951,1.5238200000000002,0.0937914,2019-08-02 00:39:26,lipponen,,3787,sector1
349576261,349576261.01,4562.01,,,,,,,,PC,,11.5326,0.006,112.01005900000001,-63.517779000000004,-5.977,0.043,10.433,0.04,2458456.8775,0.006,225.1,0.1,,,,,4.6,0.3,,,,,,,,,13.0,2.0,,,,,,,,,,,,,,,,,,,339.605,2.5095,5965.99,109.137,4.280069999999999,0.07249839999999999,1.25231,0.0545578,2020-12-17 06:57:47,eisner,,61211,PHT candidate. Short transit duration suggests high eccentricity.
349582831,349582831.01,5100.01,,,,,,,,PC,,12.4261,0.008,66.934984,33.086273999999996,1.168,0.065,-13.99,0.051,2458816.954064,,3.4541449999999996,,14.449593,,13220.4,,2.2224,,,,0.524,,0.10626,,,,17.02017493475436,,,,,,,,,,,,,,,,,,,,513.756,9.618,6028.0,131.19299999999998,4.2444,0.07954069999999999,1.32264,0.06492959999999999,2021-02-08 16:07:01,olmschenk,,94074,Identification and vetting detailed in https://arxiv.org/abs/2101.10919.
